Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
1,19.266666666666666,19.333333333333332,18.133333333333333,18.133333333333333,18.53333333333333,18.266666666666666,16.53333333333333,16.933333333333337,18.666666666666668,16.333333333333332,15.799999999999999,19.066666666666666,18.53333333333333,17.266666666666666,17.6,21.133333333333333,18.933333333333334,20,17.933333333333334,16.933333333333334,20,18.466666666666665,17.733333333333334,17.26666666666667,18.53333333333333,16.866666666666667,14.6,18.333333333333332,19.4,17.333333333333332,17.6,20.8
6,16.466666666666665,15.533333333333333,14.066666666666666,15.2,15.133333333333333,15.266666666666666,14.799999999999999,15.66666666666667,15.533333333333333,15.133333333333333,15.4,15.933333333333334,14.933333333333334,14.466666666666667,15.2,14.933333333333334,16.53333333333333,15.733333333333333,13.666666666666666,14.133333333333333,15.4,15.2,16.066666666666666,15.533333333333337,15.666666666666666,15.866666666666667,14.733333333333333,14.733333333333333,15.466666666666667,14.4,14.666666666666666,14.533333333333333
11,16.066666666666666,15.266666666666666,15.266666666666666,14.466666666666667,15.933333333333334,15,15.133333333333333,14.733333333333336,15,15.799999999999999,15.066666666666666,15.2,15.066666666666666,14.733333333333333,16.133333333333333,15.066666666666666,16.133333333333333,15.4,16.2,13.666666666666666,16.466666666666665,14.533333333333333,16,14.06666666666667,15.933333333333334,16.466666666666665,14.333333333333334,14.133333333333333,16.133333333333333,14.799999999999999,15.066666666666666,14.933333333333334
16,15.2,15.066666666666666,14.866666666666667,14.066666666666666,15.333333333333334,15.733333333333333,14.866666666666667,15.06666666666667,15.266666666666666,15.866666666666667,15.933333333333334,14.933333333333334,14.6,15.066666666666666,16.066666666666666,15.933333333333334,14.866666666666667,14.733333333333333,15.066666666666666,13.533333333333333,15.866666666666667,15.133333333333333,15.333333333333334,14.733333333333336,16.066666666666666,16.733333333333334,15.666666666666666,14.6,15.066666666666666,14.666666666666666,15.266666666666666,15.4
21,14.799999999999999,16.133333333333333,15.799999999999999,14.733333333333333,15.2,15.066666666666666,15.266666666666666,14.800000000000002,15.733333333333333,15.866666666666667,15.4,14.4,15.6,15.066666666666666,15.866666666666667,16,14.866666666666667,15.933333333333334,16.4,14.333333333333334,16.066666666666666,14.133333333333333,14.533333333333333,14.200000000000003,16.8,16.333333333333332,15.4,14.2,16.066666666666666,15,16.266666666666666,16.133333333333333
26,15.133333333333333,16.333333333333332,15,15.6,15.6,15.6,14.933333333333334,14.66666666666667,15.866666666666667,15.133333333333333,15.6,15,15.266666666666666,14.333333333333334,15.066666666666666,15.4,15.799999999999999,16.4,14.2,16.066666666666666,16.333333333333332,14.933333333333334,13.466666666666667,13.600000000000003,17.466666666666665,14.666666666666666,15.866666666666667,14.866666666666667,15.266666666666666,14.733333333333333,16.066666666666666,15.533333333333333
31,15.466666666666667,16.466666666666665,15.866666666666667,15.666666666666666,15.866666666666667,15.333333333333334,16,14.66666666666667,15.466666666666667,15.333333333333334,14.666666666666666,14.866666666666667,15.533333333333333,14.266666666666666,14.799999999999999,14.733333333333333,16.333333333333332,15.866666666666667,15.333333333333334,16.266666666666666,16.066666666666666,14.533333333333333,14.799999999999999,14.333333333333336,16.133333333333333,14.333333333333334,14.733333333333333,15,15.733333333333333,14.733333333333333,17.066666666666666,14.933333333333334
36,15.133333333333333,15.466666666666667,15.2,14.533333333333333,15.933333333333334,15.666666666666666,15.666666666666666,15.533333333333337,14.666666666666666,15.799999999999999,15.266666666666666,15.333333333333334,15,15.066666666666666,14.6,15.133333333333333,15.866666666666667,15.066666666666666,14.2,15.133333333333333,16.266666666666666,15.333333333333334,16,16.400000000000002,15.133333333333333,14.733333333333333,15.466666666666667,15.2,14.6,14.799999999999999,16.4,14.333333333333334
41,15.2,15.866666666666667,15.466666666666667,15.133333333333333,15.4,15.799999999999999,15.666666666666666,15.333333333333336,14.733333333333333,15.799999999999999,14.733333333333333,15.266666666666666,15.733333333333333,15.133333333333333,14.799999999999999,14.733333333333333,15.6,15.2,14.133333333333333,15.933333333333334,14.866666666666667,15.4,16.266666666666666,16.66666666666667,13.799999999999999,15.333333333333334,15.066666666666666,15.4,16.066666666666666,15.066666666666666,16.066666666666666,13.333333333333334
46,15.066666666666666,15.466666666666667,15.866666666666667,15.666666666666666,15.4,16.066666666666666,14.799999999999999,14.400000000000002,14.6,15.266666666666666,15.533333333333333,15.799999999999999,14.799999999999999,15.333333333333334,14.666666666666666,14.6,15.333333333333334,15.799999999999999,14.466666666666667,15.866666666666667,15.066666666666666,15.866666666666667,15.4,14.933333333333337,15.133333333333333,14.866666666666667,15.333333333333334,15.799999999999999,14.666666666666666,15.2,15,13.6
