Time,Sent (peer0.org1.dwntp.com:9443),Sent (peer1.org1.dwntp.com:9443),Sent (peer10.org1.dwntp.com:9443),Sent (peer11.org1.dwntp.com:9443),Sent (peer12.org1.dwntp.com:9443),Sent (peer13.org1.dwntp.com:9443),Sent (peer14.org1.dwntp.com:9443),Sent (peer15.org1.dwntp.com:9443),Sent (peer2.org1.dwntp.com:9443),Sent (peer3.org1.dwntp.com:9443),Sent (peer4.org1.dwntp.com:9443),Sent (peer5.org1.dwntp.com:9443),Sent (peer6.org1.dwntp.com:9443),Sent (peer7.org1.dwntp.com:9443),Sent (peer8.org1.dwntp.com:9443),Sent (peer9.org1.dwntp.com:9443),Received (peer0.org1.dwntp.com:9443),Received (peer1.org1.dwntp.com:9443),Received (peer10.org1.dwntp.com:9443),Received (peer11.org1.dwntp.com:9443),Received (peer12.org1.dwntp.com:9443),Received (peer13.org1.dwntp.com:9443),Received (peer14.org1.dwntp.com:9443),Received (peer15.org1.dwntp.com:9443),Received (peer2.org1.dwntp.com:9443),Received (peer3.org1.dwntp.com:9443),Received (peer4.org1.dwntp.com:9443),Received (peer5.org1.dwntp.com:9443),Received (peer6.org1.dwntp.com:9443),Received (peer7.org1.dwntp.com:9443),Received (peer8.org1.dwntp.com:9443),Received (peer9.org1.dwntp.com:9443)
3,8.2,7.933333333333334,,,,,,,7.3999999999999995,7.8,,,,,,,8.2,7.933333333333334,,,,,,,7.3999999999999995,7.8,,,,,,
8,12.4,23.2,,,,,,,20.733333333333334,33.86666666666667,,,,,,,12.4,23.266666666666666,,,,,,,20.53333333333333,33.93333333333333,,,,,,
13,51,61.8,,,,,,,58.666666666666664,76.8,,,,,,,51,61.86666666666667,,,,,,,58.46666666666667,76.8,,,,,,
18,98.2,110.86666666666666,,,,,,,108,126.8,,,,,,,98.2,110.93333333333334,,,,,,,107.8,126.86666666666666,,,,,,
23,142.8,145.06666666666666,,,,,,,143.4,148.93333333333334,,,,,,,142.8,144.93333333333334,,,,,,,143.46666666666667,149,,,,,,
28,153,155.2,,,,,,,155,154.46666666666667,,,,,,,153,155.2,,,,,,,155.06666666666666,154.6,,,,,,
33,155.4,154.4,,,,,,,154.66666666666666,153.8,,,,,,,155.33333333333334,154.46666666666667,,,,,,,154.53333333333333,153.86666666666667,,,,,,
38,154.53333333333333,154.53333333333333,,,,,,,155.2,155.4,,,,,,,154.4,154.8,,,,,,,155.13333333333333,155.4,,,,,,
43,155.53333333333333,154.86666666666667,,,,,,,154.13333333333333,155.33333333333334,,,,,,,155.2,154.73333333333332,,,,,,,154.06666666666666,155.26666666666665,,,,,,
48,153.73333333333332,155.4,,,,,,,155.13333333333333,156.46666666666667,,,,,,,153.73333333333332,155.53333333333333,,,,,,,155.13333333333333,156.46666666666667,,,,,,
53,159,159.2,,,,,,,159.26666666666665,160.6,,,,,,,159.06666666666666,159.33333333333334,,,,,,,159.13333333333333,160.46666666666667,,,,,,
58,163.6,165.13333333333333,,,,,,,165.6,167.8,,,,,,,163.86666666666667,165.4,,,,,,,165.46666666666667,167.8,,,,,,
63,170.8,171.66666666666666,,,,,,,170.6,172.33333333333334,,,,,,,170.93333333333334,171.53333333333333,,,,,,,170.6,172.33333333333334,,,,,,
68,172.06666666666666,173.8,,,,,,,173.6,173.26666666666665,,,,,,,171.8,173.73333333333332,,,,,,,173.73333333333332,173.4,,,,,,
73,174.06666666666666,173,,,,,,,173.13333333333333,172.4,,,,,,,173.8,173.06666666666666,,,,,,,173.26666666666665,172.53333333333333,,,,,,
78,173.4,172.73333333333332,,,,,,,173.66666666666666,173.6,,,,,,,172.86666666666667,173,,,,,,,173.8,173.8,,,,,,
83,173.73333333333332,173.06666666666666,,,,,,,172.2,173.33333333333334,,,,,,,173.6,173.06666666666666,,,,,,,172.33333333333334,173.53333333333333,,,,,,
88,172.53333333333333,173.73333333333332,,,,,,,173.6,173.26666666666665,,,,,,,172.4,173.73333333333332,,,,,,,173.73333333333332,173.46666666666667,,,,,,
93,176.4,177.33333333333334,,,,,,,176.73333333333332,178,,,,,,,176.4,177.2,,,,,,,176.8,178,,,,,,
98,181.8,183.66666666666666,,,,,,,183.66666666666666,186.6,,,,,,,181.66666666666666,183.6,,,,,,,183.6,186.6,,,,,,
103,189.8,191.26666666666665,,,,,,,189.8,193.73333333333332,,,,,,,189.8,191.13333333333333,,,,,,,189.73333333333332,193.66666666666666,,,,,,
108,193.4,195.2,,,,,,,195.2,195.66666666666666,,,,,,,193.4,195.26666666666665,,,,,,,195.06666666666666,195.6,,,,,,
113,196.4,195.8,,,,,,,195.93333333333334,195.2,,,,,,,196.53333333333333,195.8,,,,,,,195.93333333333334,195.2,,,,,,
118,196,195.86666666666667,,,,,,,196.66666666666666,196.4,,,,,,,195.86666666666667,195.86666666666667,,,,,,,196.73333333333332,196.6,,,,,,
123,196.6,196,,,,,,,195,196.13333333333333,,,,,,,196.46666666666667,195.86666666666667,,,,,,,195.26666666666665,196.26666666666665,,,,,,
128,195,196.33333333333334,,,,,,,196.2,195.66666666666666,,,,,,,195,196.26666666666665,,,,,,,196.33333333333334,195.86666666666667,,,,,,
133,200.26666666666665,206.73333333333332,,,,,,,204.66666666666666,215.2,,,,,,,200.26666666666665,206.66666666666666,,,,,,,204.8,214.6,,,,,,
138,228.26666666666665,237.06666666666666,,,,,,,235.13333333333333,249,,,,,,,228.46666666666667,237.26666666666665,,,,,,,235.26666666666665,248.66666666666666,,,,,,
143,264.93333333333334,273.26666666666665,,,,,,,270.06666666666666,284.73333333333335,,,,,,,264.4,273.73333333333335,,,,,,,270.1333333333333,284.2,,,,,,
148,295,298.2,,,,,,,297.4,300.3333333333333,,,,,,,294.8,299,,,,,,,297.8666666666667,300.73333333333335,,,,,,
153,305.8666666666667,304.2,,,,,,,304.2,303.46666666666664,,,,,,,304.3333333333333,305.2,,,,,,,304.46666666666664,304,,,,,,
158,306.73333333333335,304.8,,,,,,,304.4,305.26666666666665,,,,,,,304.93333333333334,305.3333333333333,,,,,,,305.8,305.6666666666667,,,,,,
163,308.8666666666667,306.4,,,,,,,305.1333333333333,305.8,,,,,,,306.46666666666664,306.73333333333335,,,,,,,305.8,306,,,,,,
168,305.93333333333334,306.5333333333333,,,,,,,306.46666666666664,306.4,,,,,,,304.8,306.8666666666667,,,,,,,306.93333333333334,306.2,,,,,,
173,306.46666666666664,305.8,,,,,,,306.4,305.6666666666667,,,,,,,306.06666666666666,305.93333333333334,,,,,,,306.1333333333333,305.93333333333334,,,,,,
178,306.4,306,,,,,,,306.4,306.3333333333333,,,,,,,305.4,306.06666666666666,,,,,,,306.8666666666667,306.73333333333335,,,,,,
183,307.26666666666665,305.73333333333335,,,,,,,303.93333333333334,304.93333333333334,,,,,,,305.73333333333335,305.2,,,,,,,305.06666666666666,305.8,,,,,,
188,306.06666666666666,305.5333333333333,,,,,,,305.5333333333333,304.26666666666665,,,,,,,304.1333333333333,305.73333333333335,,,,,,,306.4,305.2,,,,,,
193,306.5333333333333,304.5333333333333,,,,,,,304.5333333333333,303.73333333333335,,,,,,,305.3333333333333,304.73333333333335,,,,,,,305.3333333333333,304.4,,,,,,
198,306,304.26666666666665,,,,,,,305.46666666666664,305.3333333333333,,,,,,,304.1333333333333,304.93333333333334,,,,,,,305.93333333333334,306.2,,,,,,
203,306.8666666666667,304.3333333333333,,,,,,,303.2,304.93333333333334,,,,,,,304.5333333333333,305.2,,,,,,,304.26666666666665,306.6666666666667,,,,,,
