Time,Cluster Size,Active Nodes,Leader Changes / Min
0,1,1,0
5,1,1,0
10,1,1,0
15,1,1,0
20,1,1,0
25,1,1,0
30,1,1,0
35,1,1,0
40,1,1,0
45,1,1,0
50,1,1,0
55,1,1,0
60,1,1,0
65,1,1,0
70,1,1,0
75,1,1,0
80,1,1,0
85,1,1,0
90,1,1,0
95,1,1,0
100,1,1,0
105,1,1,0
110,1,1,0
115,1,1,0
120,1,1,0
125,1,1,0
130,1,1,0
135,1,1,0
140,1,1,0
145,1,1,0
150,1,1,0
155,1,1,0
160,1,1,0
165,1,1,0
170,1,1,0
175,1,1,0
180,1,1,0
185,1,1,0
190,1,1,0
195,1,1,0
200,1,1,0
205,1,1,0
210,1,1,0
215,1,1,0
220,1,1,0
225,1,1,0
230,1,1,0
235,1,1,0
240,1,1,0
245,1,1,0
250,1,1,0
255,1,1,0
260,1,1,0
265,1,1,0
270,1,1,0
275,1,1,0
280,1,1,0
285,1,1,0
290,1,1,0
295,1,1,0
300,1,1,0
305,1,1,0
310,1,1,0
315,1,1,0
320,1,1,0
325,1,1,0
330,1,1,0
335,1,1,0
340,1,1,0
345,1,1,0
