Time,Enqueue Duration (s)
0,NaN
5,NaN
10,0.0000324
15,0.0000309
20,0.0000347
25,0.0000368
30,0.0000383
35,0.0000387
40,0.0000381
45,0.0000381
50,0.0000379
55,0.0000383
60,0.0000389
65,0.0000395
70,0.0000403
75,0.0000400
80,0.0000411
85,0.0000410
90,0.0000413
95,0.0000405
100,0.0000410
105,0.0000435
110,0.0000444
115,0.0000445
120,0.0000431
125,0.0000432
130,0.0000443
135,0.0000448
140,0.0000532
145,0.000122
150,0.000168
155,0.000236
160,0.000246
165,0.000343
170,0.000303
175,0.000290
180,0.000200
185,0.000328
190,0.000309
195,0.000318
200,0.000180
205,0.000615
210,0.000587
215,0.000741
220,0.000327
225,0.000402
230,0.000256
235,0.000420
240,0.000349
245,0.000457
250,0.000269
255,0.000304
260,0.000268
265,0.000269
270,0.000476
275,0.000399
280,0.000473
285,0.000248
290,0.000326
295,0.000313
300,0.000344
305,0.000354
310,0.000342
315,0.000275
320,0.000193
325,0.0000516
330,0.0000298
335,NaN
340,NaN
345,NaN
