Time,State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s),State DB Commit Latency (s)
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,NaN,0.000952,NaN,0.000821,NaN,NaN,0.000928,0.000933,0.000969,0.000913,0.00103,NaN,0.00104,0.000967,0.000889,NaN
42,0.00100,0.00102,0.000913,0.000955,0.00101,0.00101,0.000975,0.00103,0.000988,0.000949,0.000977,0.00103,0.00103,0.000987,0.00104,0.000964
47,0.000964,0.00100,0.000956,0.000977,0.000983,0.00103,0.000979,0.00100,0.00102,0.000958,0.000994,0.00103,0.000991,0.000987,0.00101,0.000968
52,0.00106,0.00109,0.000973,0.00100,0.00102,0.00102,0.00111,0.00121,0.00109,0.00129,0.00117,0.00101,0.00109,0.00119,0.00112,0.000983
57,0.00390,0.00160,0.00142,0.00147,0.00146,0.00142,0.00169,0.00176,0.00169,0.00170,0.00167,0.00152,0.00156,0.00162,0.00162,0.00129
62,0.00778,0.00187,0.00191,0.00185,0.00192,0.00191,0.00208,0.00216,0.00199,0.00203,0.00196,0.00186,0.00185,0.00194,0.00204,0.00181
67,0.0128,0.00215,0.00226,0.00211,0.00227,0.00215,0.00237,0.00232,0.00230,0.00206,0.00218,0.00223,0.00207,0.00216,0.00228,0.00217
72,0.00655,0.00190,0.00216,0.00197,0.00218,0.00210,0.00208,0.00201,0.00201,0.00181,0.00191,0.00206,0.00184,0.00195,0.00204,0.00225
77,0.00416,0.00164,0.00178,0.00163,0.00183,0.00173,0.00165,0.00150,0.00168,0.00140,0.00156,0.00176,0.00154,0.00158,0.00159,0.00195
82,0.00142,0.00111,0.00125,0.00121,0.00128,0.00137,0.00112,0.00105,0.00111,0.00103,0.00109,0.00123,0.00108,0.00105,0.00108,0.00148
87,0.000972,0.00100,0.00101,0.000987,0.000993,0.00106,0.00101,0.000930,0.000998,0.00101,0.00103,0.000991,0.000952,0.000975,0.000976,0.00107
92,0.000946,0.000875,0.000997,0.000978,0.000940,0.00104,0.000948,0.000942,0.000984,0.000899,0.00115,0.000973,0.000943,0.000897,0.000889,0.000990
97,0.000889,0.000841,0.00106,0.000799,0.000846,0.000944,NaN,NaN,0.000623,NaN,NaN,0.000463,0.000617,0.000911,0.000626,0.000988
102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
