Time,TPS (Received),TPS (Endorsed Successfully),TPS (Committed Successfully)
2,3.2666666666666666,3.2666666666666666,2.35
7,0,0,0.06666666666666667
12,0,0,0
17,0,0,1.4166666666666667
22,25.266666666666666,25.266666666666666,36.416666666666664
27,75.38492301539691,75.38492301539691,94.74813370659201
32,154.66666666666666,154.66666666666666,175.66666666666666
37,212.73333333333332,212.73333333333332,224
42,245.98252983930124,245.98252983930124,249.00615123024605
47,250,250,248.5
52,224.86666666666667,224.86666666666667,213.5
57,174.8,174.8,155.25
62,95.6,95.6,74.68333333333334
67,37.4,37.4,26.35
72,4.133333333333333,4.133333333333333,1.2666666666666666
77,0,0,0
82,0,0,0
87,0,0,0
