"Time","Cumulative (Received)","Cumulative (Endorsed Successfully)","Cumulative (Committed Successfully)"
1776672280000,2,2,undefined
1776672285000,6,6,undefined
1776672290000,7,7,undefined
1776672295000,7,7,undefined
1776672300000,7,7,undefined
1776672305000,175,175,230
1776672310000,426,426,480
1776672315000,675,675,730
1776672320000,926,926,980
1776672325000,1175,1175,1230
1776672330000,1426,1426,1480
1776672335000,1511,1511,1504
1776672340000,1511,1511,1504
1776672345000,1511,1511,1734
1776672350000,2571,2571,2874
1776672355000,3821,3821,4124
1776672360000,5071,5071,5374
1776672365000,6321,6321,6624
1776672370000,7571,7571,7874
1776672375000,8821,8821,8894
1776672380000,9015,9015,9008
1776672385000,9015,9015,9008
1776672390000,9015,9015,9008
1776672395000,10876,10876,11498
1776672400000,13376,13376,13998
1776672405000,15876,15876,16498
1776672410000,18376,18376,18998
1776672415000,20876,20876,21498
1776672420000,23376,23376,23998
1776672425000,24019,24019,24012
1776672430000,24019,24019,24012
1776672435000,24141,24139,24592
1776672440000,26250,26249,26862
1776672445000,28695,28694,29312
1776672450000,31149,31148,31762
1776672455000,33597,33597,34202
1776672460000,36047,36047,36662
1776672465000,38499,38498,39112
1776672470000,40950,40949,41562
1776672475000,43407,43407,44022
1776672480000,46062,46062,46762
1776672485000,48853,48851,49552
1776672490000,51647,51646,52342
1776672495000,54433,54432,55122
1776672500000,57219,57219,57922
1776672505000,60012,60012,60712
1776672510000,62803,62802,63502
1776672515000,65596,65595,66292
1776672520000,68501,68501,69282
1776672525000,71692,71691,72492
1776672530000,74895,74895,75702
1776672535000,78094,78090,78902
1776672540000,81312,81309,82112
1776672545000,84522,84522,85322
1776672550000,87717,87717,88522
1776672555000,90932,90932,91732
1776672560000,94299,94298,95592
1776672565000,99516,99515,100862
1776672570000,104901,104900,106242
1776672575000,110300,110300,111652
1776672580000,115709,115709,117062
1776672585000,121100,121098,122442
1776672590000,126486,126481,127842
1776672595000,131919,131915,133292
1776672600000,137356,137351,138712
1776672605000,142777,142771,144142
1776672610000,148186,148182,149562
1776672615000,153644,153641,154992
1776672620000,159034,159031,160392
1776672625000,164426,164421,165792
1776672630000,169844,169840,171212
1776672635000,175278,175273,176642
1776672640000,180704,180701,182072
1776672645000,186119,186117,187482
1776672650000,191555,191551,192922
1776672655000,197032,197028,198392
1776672660000,202465,202462,203802
1776672665000,207841,207841,209202
1776672670000,213258,213257,214612
1776672675000,218693,218690,220052
1776672680000,224103,224101,225472
1776672685000,229559,229557,230922
1776672690000,235007,235006,236372
1776672695000,240421,240420,241772
1776672700000,245831,245829,247192
1776672705000,251275,251271,252612
1776672710000,256688,256687,258052
1776672715000,262133,262132,263512
1776672720000,267563,267559,268922
1776672725000,272963,272963,274322
1776672730000,278345,278342,279722
1776672735000,283562,283561,284232
1776672740000,284976,284976,284969
1776672745000,284976,284976,284969
1776672750000,284976,284976,284969
1776672755000,284979,284979,284969
1776672760000,287835,287831,289158
1776672765000,293150,293149,294468
1776672770000,294976,294976,294968
1776672775000,294976,294976,294968
1776672780000,294976,294976,294968
1776672785000,294985,294976,294968
1776672790000,295032,294976,294968
1776672795000,295081,294976,294968
1776672800000,295133,294976,294968
1776672805000,295188,294976,294968
1776672810000,295240,294976,294968
1776672815000,295296,294976,294968
1776672820000,295351,294976,294968
1776672825000,295408,294976,294968
1776672830000,295467,294976,294968
1776672835000,295524,294976,294968
1776672840000,295586,294976,294968
1776672845000,295647,294976,294968
1776672850000,295710,294976,294968
1776672855000,295774,294976,294968
1776672860000,295838,294976,294968
1776672865000,295906,294976,294968
1776672870000,295974,294976,294968
1776672875000,296045,294976,294968
1776672880000,296116,294976,294968
1776672885000,296189,294976,294968
1776672890000,296265,294976,294968
1776672895000,296341,294976,294968
1776672900000,296420,294976,294968
1776672905000,296501,294976,294968
1776672910000,296585,294976,294968
1776672915000,296671,294976,294968
1776672920000,296759,294976,294968
1776672925000,296850,294976,294968
1776672930000,296943,294976,294968
1776672935000,297040,294976,294968
1776672940000,297141,294976,294968
1776672945000,297243,294976,294968
1776672950000,297351,294976,294968
1776672955000,297462,294976,294968
1776672960000,297577,294976,294968
1776672965000,297697,294976,294968
1776672970000,297821,294976,294968
1776672975000,297951,294976,294968
1776672980000,298087,294976,294968
1776672985000,298230,294976,294968
1776672990000,298380,294976,294968
1776672995000,298537,294976,294968
1776673000000,298702,294976,294968
1776673005000,298878,294976,294968
1776673010000,299064,294976,294968
1776673015000,299263,294976,294968
1776673020000,299474,294976,294968
1776673025000,299703,294976,294968
1776673030000,299950,294976,294968
1776673035000,300219,294976,294968
1776673040000,300515,294976,294968
1776673045000,300842,294976,294968
1776673050000,301207,294976,294968
1776673055000,301626,294976,294968
1776673060000,302111,294976,294968
1776673065000,302689,294976,294968
1776673070000,303015,294976,294968
1776673075000,303342,294976,294968
1776673080000,303707,294976,294968
1776673085000,304125,294976,294968
1776673090000,304272,294976,294968
1776673095000,304272,294976,294968
1776673100000,304272,294976,294968
1776673105000,304272,294976,294968
1776673110000,304272,294976,294968
1776673115000,304272,294976,294968
1776673120000,304272,294976,294968
1776673125000,304272,294976,294968
1776673130000,304272,294976,294968
1776673135000,304272,294976,294968
1776673150000,1,1,undefined
1776673155000,4,4,undefined
1776673160000,12,12,undefined
1776673165000,13,13,undefined
1776673170000,13,13,undefined
1776673175000,13,13,undefined
1776673180000,13,13,30
1776673185000,111,111,200
1776673190000,330,330,450
1776673195000,581,581,700
1776673200000,830,830,950
1776673205000,1081,1081,1200
1776673210000,1330,1330,1420
1776673215000,1486,1486,1500
1776673220000,1517,1517,1504
1776673225000,1517,1517,1504
1776673230000,1517,1517,1504
1776673235000,1517,1517,1504
1776673240000,1546,1546,1734
1776673245000,2166,2165,2814
1776673250000,3381,3381,4064
1776673255000,4630,4630,5314
1776673260000,5881,5881,6564
1776673265000,7130,7130,7814
1776673270000,8353,8352,8834
1776673275000,8985,8985,9008
1776673280000,9021,9021,9008
1776673285000,9021,9021,9008
1776673290000,9021,9021,9008
1776673295000,9038,9038,9368
1776673300000,9930,9930,10618
1776673305000,11464,11463,12858
1776673310000,13964,13963,15348
1776673315000,16464,16464,17858
1776673320000,18964,18963,20358
1776673325000,21448,21448,22488
1776673330000,23056,23056,23738
1776673335000,24024,24024,24011
1776673340000,24024,24024,24011
1776673345000,24024,24024,24011
1776673350000,24024,24024,24011
1776673355000,24024,24024,24011
1776673360000,24286,24286,25301
1776673365000,26110,26109,27411
1776673370000,28486,28486,29821
1776673375000,30892,30892,32231
1776673380000,33299,33299,34641
1776673385000,35717,35714,37051
1776673390000,38124,38124,39461
1776673395000,40540,40540,41881
1776673400000,42949,42946,44371
1776673405000,45543,45543,47031
1776673410000,48235,48235,49741
1776673415000,50958,50958,52471
1776673420000,53676,53676,55191
1776673425000,56393,56393,57911
1776673430000,59113,59112,60621
1776673435000,61829,61826,63341
1776673440000,64553,64551,66071
1776673445000,67406,67406,69061
1776673450000,70420,70419,72141
1776673455000,73514,73514,75241
1776673460000,76616,76616,78341
1776673465000,79717,79717,81441
1776673470000,82819,82816,84541
1776673475000,85910,85908,87631
1776673480000,89005,89005,90721
1776673485000,92306,92306,94811
1776673490000,96835,96825,99511
1776673495000,101672,101669,104361
1776673500000,106518,106517,109231
1776673505000,111426,111417,114141
1776673510000,116289,116288,118991
1776673515000,121199,121196,123901
1776673520000,126100,126097,128831
1776673525000,130987,130980,133731
1776673530000,135891,135889,138591
1776673535000,140769,140766,143501
1776673540000,145637,145634,148331
1776673545000,150519,150519,153211
1776673550000,155386,155383,158091
1776673555000,160259,160255,162961
1776673560000,165143,165140,167861
1776673565000,169997,169995,172691
1776673570000,174853,174848,177511
1776673575000,179688,179685,182381
1776673580000,184511,184503,187221
1776673585000,189397,189393,192071
1776673590000,194243,194240,196981
1776673595000,199126,199123,201851
1776673600000,203984,203979,206651
1776673605000,208811,208805,211531
1776673610000,213735,213734,216431
1776673615000,218645,218637,221371
1776673620000,223526,223524,226281
1776673625000,228490,228487,231171
1776673630000,233344,233337,236041
1776673635000,238184,238181,240941
1776673640000,243126,243123,245811
1776673645000,248012,248003,250721
1776673650000,252872,252872,255631
1776673655000,257835,257826,260521
1776673660000,262252,262252,263591
1776673665000,264682,264682,264794
1776673670000,264807,264807,264794
1776673675000,264807,264807,264794
1776673680000,264807,264807,264794
1776673685000,264807,264807,264800
1776673690000,266423,266420,268420
1776673695000,270553,270546,272670
1776673700000,274185,274185,274790
1776673705000,274807,274807,274794
1776673710000,274807,274807,274794
1776673715000,274807,274807,274794
1776673720000,274807,274807,274794
1776673725000,274815,274807,274794
1776673730000,274839,274807,274794
1776673735000,274877,274807,274794
1776673740000,274929,274807,274794
1776673745000,274983,274807,274794
1776673750000,275035,274807,274794
1776673755000,275089,274807,274794
1776673760000,275145,274807,274794
1776673765000,275200,274807,274794
1776673770000,275259,274807,274794
1776673775000,275315,274807,274794
1776673780000,275375,274807,274794
1776673785000,275435,274807,274794
1776673790000,275499,274807,274794
1776673795000,275561,274807,274794
1776673800000,275625,274807,274794
1776673805000,275691,274807,274794
1776673810000,275757,274807,274794
1776673815000,275827,274807,274794
1776673820000,275899,274807,274794
1776673825000,275969,274807,274794
1776673830000,276043,274807,274794
1776673835000,276120,274807,274794
1776673840000,276197,274807,274794
1776673845000,276277,274807,274794
1776673850000,276359,274807,274794
1776673855000,276443,274807,274794
1776673860000,276530,274807,274794
1776673865000,276619,274807,274794
1776673870000,276711,274807,274794
1776673875000,276806,274807,274794
1776673880000,276903,274807,274794
1776673885000,277005,274807,274794
1776673890000,277110,274807,274794
1776673895000,277217,274807,274794
1776673900000,277330,274807,274794
1776673905000,277447,274807,274794
1776673910000,277567,274807,274794
1776673915000,277694,274807,274794
1776673920000,277827,274807,274794
1776673925000,277965,274807,274794
1776673930000,278109,274807,274794
1776673935000,278262,274807,274794
1776673940000,278422,274807,274794
1776673945000,278591,274807,274794
1776673950000,278769,274807,274794
1776673955000,278959,274807,274794
1776673960000,279163,274807,274794
1776673965000,279381,274807,274794
1776673970000,279616,274807,274794
1776673975000,279871,274807,274794
1776673980000,280150,274807,274794
1776673985000,280456,274807,274794
1776673990000,280797,274807,274794
1776673995000,281185,274807,274794
1776674000000,281627,274807,274794
1776674005000,282151,274807,274794
1776674010000,282649,274807,274794
1776674015000,282956,274807,274794
1776674020000,283297,274807,274794
1776674025000,283684,274807,274794
1776674030000,284127,274807,274794
1776674035000,284356,274807,274794
1776674040000,284356,274807,274794
1776674045000,284356,274807,274794
1776674050000,284356,274807,274794
1776674055000,284356,274807,274794
1776674060000,284356,274807,274794
1776674065000,284356,274807,274794
1776674070000,284356,274807,274794
1776674075000,284356,274807,274794
1776674080000,284353,274804,274794
1776674100000,8,8,undefined
1776674105000,20,20,undefined
1776674110000,25,25,undefined
1776674115000,25,25,undefined
1776674120000,25,25,undefined
1776674125000,25,25,undefined
1776674130000,25,25,undefined
1776674135000,25,25,undefined
1776674140000,25,25,undefined
1776674145000,79,79,120
1776674150000,218,218,290
1776674155000,406,406,480
1776674160000,593,593,670
1776674165000,796,796,910
1776674170000,1045,1045,1160
1776674175000,1244,1244,1280
1776674180000,1355,1355,1360
1776674185000,1418,1418,1420
1776674190000,1480,1480,1490
1776674195000,1529,1529,1504
1776674200000,1529,1529,1504
1776674205000,1529,1529,1504
1776674210000,1529,1529,1504
1776674215000,1529,1529,1504
1776674220000,1529,1529,1604
1776674225000,1908,1908,2234
1776674230000,2660,2660,3274
1776674235000,3849,3849,4524
1776674240000,5099,5099,5774
1776674245000,6349,6349,7024
1776674250000,7599,7599,8164
1776674255000,8472,8472,8794
1776674260000,8971,8971,9004
1776674265000,9033,9033,9008
1776674270000,9033,9033,9008
1776674275000,9033,9033,9008
1776674280000,9033,9033,9008
1776674285000,9033,9033,9008
1776674290000,9033,9033,9008
1776674295000,9033,9033,9008
1776674300000,9239,9238,9748
1776674305000,10321,10321,11108
1776674310000,12230,12228,13608
1776674315000,14730,14728,16108
1776674320000,17230,17226,18608
1776674325000,19731,19731,21108
1776674330000,22026,22024,22868
1776674335000,23444,23443,24008
1776674340000,24035,24035,24010
1776674345000,24035,24035,24010
1776674350000,24035,24035,24010
1776674355000,24035,24035,24010
1776674360000,24035,24035,24010
1776674365000,24035,24035,24010
1776674370000,24035,24035,24010
1776674375000,24035,24035,24020
1776674380000,24309,24309,25120
1776674385000,26072,26072,27330
1776674390000,28362,28362,29630
1776674395000,30662,30661,31920
1776674400000,32944,32944,34210
1776674405000,35243,35243,36520
1776674410000,37545,37544,38810
1776674415000,39856,39856,41130
1776674420000,42174,42173,43490
1776674425000,44602,44601,45990
1776674430000,47132,47131,48530
1776674435000,49684,49684,51080
1776674440000,52225,52225,53620
1776674445000,54761,54759,56170
1776674450000,57317,57317,58720
1776674455000,59872,59868,61260
1776674460000,62391,62391,63820
1776674465000,65011,65011,66540
1776674470000,67771,67770,69310
1776674475000,70564,70564,72120
1776674480000,73385,73385,74930
1776674485000,76190,76189,77730
1776674490000,78984,78984,80540
1776674495000,81815,81814,83360
1776674500000,84612,84610,86180
1776674505000,87615,87612,89610
1776674510000,91342,91338,93430
1776674515000,95153,95152,97190
1776674520000,98900,98892,100936
