"Time","node_exporter CPU Usage","fabric-orderer CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage","fabric-peers CPU Usage"
2026-04-20 10:04:30,0.138,,,,,,,,,,,,,,,,,
2026-04-20 10:04:35,0.179,0.153,,,,,,,,,,,,,,,,
2026-04-20 10:04:40,0.282,0.253,0.642,0.565,,,,,,,,,,,,,,
2026-04-20 10:04:45,0.267,0.400,0.785,0.793,,,,,,,,,,,,,,
2026-04-20 10:04:50,0.267,0.267,1,0.933,,,,,,,,,,,,,,
2026-04-20 10:04:55,0.267,0.200,0.800,0.733,,,,,,,,,,,,,,
2026-04-20 10:05:00,0.333,0.533,0.733,0.667,,,,,,,,,,,,,,
2026-04-20 10:05:05,0.400,1.92,3.27,1.73,,,,,,,,,,,,,,
2026-04-20 10:05:10,0.333,3.03,7.20,2.73,,,,,,,,,,,,,,
2026-04-20 10:05:15,0.333,4.14,11.3,3.73,,,,,,,,,,,,,,
2026-04-20 10:05:20,0.267,4.40,12.4,3.73,,,,,,,,,,,,,,
2026-04-20 10:05:25,0.333,4.33,12.4,3.80,,,,,,,,,,,,,,
2026-04-20 10:05:30,0.333,3.87,12.3,3.73,,,,,,,,,,,,,,
2026-04-20 10:05:35,0.400,2.47,9.93,2.80,,,,,,,,,,,,,,
2026-04-20 10:05:40,0.333,1.13,6.00,1.80,,,,,,,,,,,,,,
2026-04-20 10:05:45,0.333,2.80,2.20,1.80,,,,,,,,,,,,,,
2026-04-20 10:05:50,0.267,8,13.5,6.00,,,,,,,,,,,,,,
2026-04-20 10:05:55,0.333,13.1,28.0,10.6,,,,,,,,,,,,,,
2026-04-20 10:06:00,0.267,15.8,42.3,14.4,,,,,,,,,,,,,,
2026-04-20 10:06:05,0.333,16.2,44.5,14.9,,,,,,,,,,,,,,
2026-04-20 10:06:10,0.267,16.5,45,15.3,,,,,,,,,,,,,,
2026-04-20 10:06:15,0.333,14.2,45.9,14.6,,,,,,,,,,,,,,
2026-04-20 10:06:20,0.267,8.60,33.9,10.3,,,,,,,,,,,,,,
2026-04-20 10:06:25,0.333,3.20,19.0,5.27,,,,,,,,,,,,,,
2026-04-20 10:06:30,0.333,4.13,3.73,1.20,,,,,,,,,,,,,,
2026-04-20 10:06:35,0.467,13.7,21.3,10,,,,,,,,,,,,,,
2026-04-20 10:06:40,0.400,23.3,46.6,18.8,,,,,,,,,,,,,,
2026-04-20 10:06:45,0.333,28.9,71.9,27.7,,,,,,,,,,,,,,
2026-04-20 10:06:50,0.267,28.9,76.8,27.5,,,,,,,,,,,,,,
2026-04-20 10:06:55,0.333,28.7,76.6,27.3,,,,,,,,,,,,,,
2026-04-20 10:07:00,0.333,25.3,76.9,27.4,,,,,,,,,,,,,,
2026-04-20 10:07:05,0.333,15.9,58.1,18.5,,,,,,,,,,,,,,
2026-04-20 10:07:10,0.267,6.40,33.0,9.80,,,,,,,,,,,,,,
2026-04-20 10:07:15,0.333,5.53,9.00,3.20,,,,,,,,,,,,,,
2026-04-20 10:07:20,0.267,14.7,25.5,11.5,,,,,,,,,,,,,,
2026-04-20 10:07:25,0.333,23.9,50,20.3,,,,,,,,,,,,,,
2026-04-20 10:07:30,0.333,27.7,73.1,26.9,,,,,,,,,,,,,,
2026-04-20 10:07:35,0.333,27.7,75.1,27.4,,,,,,,,,,,,,,
2026-04-20 10:07:40,0.267,27.6,75.3,27.5,,,,,,,,,,,,,,
2026-04-20 10:07:45,0.200,27.5,75.2,27.4,,,,,,,,,,,,,,
2026-04-20 10:07:50,0.267,27.5,74.9,27.2,,,,,,,,,,,,,,
2026-04-20 10:07:55,0.333,27.7,74.9,27.1,,,,,,,,,,,,,,
2026-04-20 10:08:00,0.333,29.1,77.1,28.4,,,,,,,,,,,,,,
2026-04-20 10:08:05,0.333,30.4,80.5,29.8,,,,,,,,,,,,,,
2026-04-20 10:08:10,0.333,31.7,84.3,31.5,,,,,,,,,,,,,,
2026-04-20 10:08:15,0.333,31.7,86.2,31.9,,,,,,,,,,,,,,
2026-04-20 10:08:20,0.267,31.7,86.5,31.8,,,,,,,,,,,,,,
2026-04-20 10:08:25,0.267,31.7,86.1,31.6,,,,,,,,,,,,,,
2026-04-20 10:08:30,0.333,31.4,85.5,31.4,,,,,,,,,,,,,,
2026-04-20 10:08:35,0.333,31.5,85.7,31.6,,,,,,,,,,,,,,
2026-04-20 10:08:40,0.333,33.1,88.2,33.5,,,,,,,,,,,,,,
2026-04-20 10:08:45,0.333,35.3,93.7,35.3,,,,,,,,,,,,,,
2026-04-20 10:08:50,0.400,37.4,99.3,37.4,,,,,,,,,,,,,,
2026-04-20 10:08:55,0.400,37.6,103,38.1,,,,,,,,,,,,,,
2026-04-20 10:09:00,0.400,37.5,102,38.2,,,,,,,,,,,,,,
2026-04-20 10:09:05,0.333,37.9,103,39.1,,,,,,,,,,,,,,
2026-04-20 10:09:10,0.267,37.9,103,38.5,,,,,,,,,,,,,,
2026-04-20 10:09:15,0.333,38.3,103,38.8,,,,,,,,,,,,,,
2026-04-20 10:09:20,0.333,45.3,106,42.1,,,,,,,,,,,,,,
2026-04-20 10:09:25,0.467,58.5,136,55.0,,,,,,,,,,,,,,
2026-04-20 10:09:30,0.400,71.5,170,68.3,,,,,,,,,,,,,,
2026-04-20 10:09:35,0.533,77.7,201,77.5,,,,,,,,,,,,,,
2026-04-20 10:09:40,0.400,77.8,204,78.2,,,,,,,,,,,,,,
2026-04-20 10:09:45,0.467,77.9,203,78.1,,,,,,,,,,,,,,
2026-04-20 10:09:50,0.467,77.7,203,77.3,,,,,,,,,,,,,,
2026-04-20 10:09:55,0.467,77.8,204,77.8,,,,,,,,,,,,,,
2026-04-20 10:10:00,0.467,77.9,205,79.1,,,,,,,,,,,,,,
2026-04-20 10:10:05,0.400,78.3,206,79.8,,,,,,,,,,,,,,
2026-04-20 10:10:10,0.467,78.1,207,80.1,,,,,,,,,,,,,,
2026-04-20 10:10:15,0.467,78.3,208,79.8,,,,,,,,,,,,,,
2026-04-20 10:10:20,0.467,78.3,207,79.9,,,,,,,,,,,,,,
2026-04-20 10:10:25,0.467,78.5,206,79.8,,,,,,,,,,,,,,
2026-04-20 10:10:30,0.467,78.7,207,79.9,,,,,,,,,,,,,,
2026-04-20 10:10:35,0.467,78.5,208,81.2,,,,,,,,,,,,,,
2026-04-20 10:10:40,0.467,78.3,209,80.7,,,,,,,,,,,,,,
2026-04-20 10:10:45,0.467,78.0,210,81.4,,,,,,,,,,,,,,
2026-04-20 10:10:50,0.467,78.4,212,81.7,,,,,,,,,,,,,,
2026-04-20 10:10:55,0.467,78.5,211,81.9,,,,,,,,,,,,,,
2026-04-20 10:11:00,0.400,78.8,210,83.3,,,,,,,,,,,,,,
2026-04-20 10:11:05,0.467,78.6,212,85.3,,,,,,,,,,,,,,
2026-04-20 10:11:10,0.467,78.7,212,85.5,,,,,,,,,,,,,,
2026-04-20 10:11:15,0.467,78.7,211,81.8,,,,,,,,,,,,,,
2026-04-20 10:11:20,0.467,78.8,208,79.2,,,,,,,,,,,,,,
2026-04-20 10:11:25,0.467,78.6,208,79.4,,,,,,,,,,,,,,
2026-04-20 10:11:30,0.533,78.5,206,79.6,,,,,,,,,,,,,,
2026-04-20 10:11:35,0.467,78.5,207,80.1,,,,,,,,,,,,,,
2026-04-20 10:11:40,0.533,78.5,208,80.8,,,,,,,,,,,,,,
2026-04-20 10:11:45,0.533,78.5,209,82.8,,,,,,,,,,,,,,
2026-04-20 10:11:50,0.467,78.6,210,81.5,,,,,,,,,,,,,,
2026-04-20 10:11:55,0.467,78.7,210,81.8,,,,,,,,,,,,,,
2026-04-20 10:12:00,0.467,78.7,212,82.0,,,,,,,,,,,,,,
2026-04-20 10:12:05,0.533,78.5,212,83.9,,,,,,,,,,,,,,
2026-04-20 10:12:10,0.467,78.7,212,83.9,,,,,,,,,,,,,,
2026-04-20 10:12:15,0.467,67.0,210,79.3,,,,,,,,,,,,,,
2026-04-20 10:12:20,0.400,40.9,154,54.6,,,,,,,,,,,,,,
2026-04-20 10:12:25,0.400,14.5,83.7,26.7,,,,,,,,,,,,,,
2026-04-20 10:12:30,0.333,0.133,15.4,3.67,,,,,,,,,,,,,,
2026-04-20 10:12:35,0.333,3.93,1.000,0.733,,,,,,,,,,,,,,
2026-04-20 10:12:40,0.333,29.9,37.9,21.1,,,,,,,,,,,,,,
2026-04-20 10:12:45,0.333,48.3,108,48.9,,,,,,,,,,,,,,
2026-04-20 10:12:50,0.400,44.6,130,50.7,,,,,,,,,,,,,,
2026-04-20 10:12:55,0.400,18.7,93.1,30.3,,,,,,,,,,,,,,
2026-04-20 10:13:00,0.400,0.200,23.1,2.67,,,,,,,,,,,,,,
2026-04-20 10:13:05,0.400,0.133,17.6,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:10,0.400,0.133,207,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:15,0.400,0.0667,486,0.600,,,,,,,,,,,,,,
2026-04-20 10:13:20,0.467,0.0667,775,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:25,0.533,0.0667,907,0.667,,,,,,,,,,,,,,
2026-04-20 10:13:30,0.533,0.0667,954,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:35,0.533,0.133,976,0.667,,,,,,,,,,,,,,
2026-04-20 10:13:40,0.467,0.0667,983,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:45,0.533,0.133,983,0.733,,,,,,,,,,,,,,
2026-04-20 10:13:50,0.533,0.0667,975,0.800,,,,,,,,,,,,,,
2026-04-20 10:13:55,0.533,0.133,970,0.733,,,,,,,,,,,,,,
2026-04-20 10:14:00,0.467,0.0667,964,0.800,,,,,,,,,,,,,,
2026-04-20 10:14:05,0.533,0.0667,961,0.667,,,,,,,,,,,,,,
2026-04-20 10:14:10,0.533,0.0667,953,0.733,,,,,,,,,,,,,,
2026-04-20 10:14:15,0.600,0.133,946,0.867,,,,,,,,,,,,,,
2026-04-20 10:14:20,0.533,0.133,949,0.867,,,,,,,,,,,,,,
2026-04-20 10:14:25,0.533,0.0667,947,0.867,,,,,,,,,,,,,,
2026-04-20 10:14:30,0.533,0.0667,944,0.733,,,,,,,,,,,,,,
2026-04-20 10:14:35,0.467,0.0667,940,0.800,,,,,,,,,,,,,,
2026-04-20 10:14:40,0.467,0.0667,945,0.733,,,,,,,,,,,,,,
