"Time","node_exporter:9100","orderer.dwntp.com:8443","peer0.org1.dwntp.com:9443","peer1.org1.dwntp.com:9443","peer10.org1.dwntp.com:9443","peer11.org1.dwntp.com:9443","peer12.org1.dwntp.com:9443","peer13.org1.dwntp.com:9443","peer14.org1.dwntp.com:9443","peer15.org1.dwntp.com:9443","peer2.org1.dwntp.com:9443","peer3.org1.dwntp.com:9443","peer4.org1.dwntp.com:9443","peer5.org1.dwntp.com:9443","peer6.org1.dwntp.com:9443","peer7.org1.dwntp.com:9443","peer8.org1.dwntp.com:9443","peer9.org1.dwntp.com:9443"
1776672265000,18890752,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672270000,23986176,41177088,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672275000,24379392,47890432,66977792,67354624,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672280000,23920640,47890432,73953280,72208384,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672285000,24039424,52166656,76505088,76804096,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672290000,24039424,54349824,80846848,79069184,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672295000,24076288,54349824,80846848,81170432,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672300000,24338432,63016960,80846848,81170432,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672305000,24051712,66715648,152043520,147918848,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672310000,23756800,73818112,156413952,152207360,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672315000,24350720,72273920,158875648,152338432,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1776672320000,24195072,73129984,161034240,159068160,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
