"Time","TPS (Received)","TPS (Endorsed Successfully)","TPS (Committed Successfully)"
1776672285000,0.40249999999999997,0.40249999999999997,undefined
1776672290000,0.379755,0.379755,undefined
1776672295000,0.33333333333333337,0.33333333333333337,undefined
1776672300000,0.06666666666666667,0.06666666666666667,undefined
1776672305000,10.392560000000001,10.392560000000001,undefined
1776672310000,25.620730000000002,25.620730000000002,25.15625
1776672315000,40.72756,40.72756,37.65625
1776672320000,50.06666666666666,50.06666666666666,50
1776672325000,49.93333333333333,49.93333333333333,50
1776672330000,50.06666666666666,50.06666666666666,50
1776672335000,39,39,37.266666666666666
1776672340000,22.4,22.4,20.6
1776672345000,5.666666666666667,5.666666666666667,11.6
1776672350000,70.66666666666667,70.66666666666667,80.66666666666666
1776672355000,154,154,164
1776672360000,237.33333333333334,237.33333333333334,239.66666666666666
1776672365000,250,250,250
1776672370000,250,250,250
1776672375000,250,250,242.33333333333331
1776672380000,179.6,179.6,169.6
1776672385000,96.26666666666667,96.26666666666667,86.26666666666667
1776672390000,12.933333333333334,12.933333333333334,10.6
1776672395000,124.06666666666666,124.06666666666666,144.66666666666666
1776672400000,290.73333333333335,290.73333333333335,311.33333333333337
1776672405000,457.4,457.4,478
1776672410000,500,500,500
1776672415000,500,500,500
1776672420000,500,500,500
1776672425000,376.2,376.2,355.6
1776672430000,209.53333333333333,209.53333333333333,188.93333333333334
1776672435000,51,50.86666666666667,45.266666666666666
1776672440000,148.73333333333332,148.66666666666666,169
1776672445000,311.73333333333335,311.6666666666667,332.3333333333333
1776672450000,467.2,467.26666666666665,472.66666666666663
1776672455000,489.8,489.8666666666667,489.66666666666663
1776672460000,490.1333333333333,490.2,490
1776672465000,490,490,490
1776672470000,490.2,490.1333333333333,490.33333333333337
1776672475000,490.6666666666667,490.6666666666667,490.6666666666667
1776672480000,504.2,504.26666666666665,507
1776672485000,526.8666666666667,526.8,529.6666666666666
1776672490000,549.3333333333334,549.2666666666667,552
1776672495000,558.0666666666666,558,558
1776672500000,557.7333333333333,557.8666666666667,558
1776672505000,557.6666666666666,557.7333333333333,557.6666666666667
1776672510000,558,558,558
1776672515000,558.4666666666667,558.4,558.3333333333333
1776672520000,565.9333333333333,565.9333333333333,568.6666666666667
1776672525000,592.6,592.6,596
1776672530000,619.9333333333333,620,623.6666666666667
1776672535000,639.5333333333333,639.2666666666667,640.6666666666667
1776672540000,641.3333333333334,641.2,641.3333333333334
1776672545000,641.8,641.8,641.3333333333334
1776672550000,641.5333333333333,641.8,641.3333333333334
1776672555000,641.3333333333334,641.5333333333333,641.3333333333334
1776672560000,651.8,651.7333333333333,668
1776672565000,786.6,786.5333333333333,804
1776672570000,931.2666666666667,931.1999999999999,949
1776672575000,1066.7333333333333,1066.8,1068.6666666666667
1776672580000,1079.5333333333333,1079.6,1080
1776672585000,1079.9333333333334,1079.8666666666666,1080
1776672590000,1079.0666666666666,1078.7333333333333,1079.3333333333333
1776672595000,1080.6666666666667,1080.4,1081.3333333333335
1776672600000,1083.7333333333333,1083.5333333333333,1084.3333333333335
1776672605000,1086.0666666666666,1086,1086.3333333333335
1776672610000,1084.4666666666667,1084.4666666666667,1084.6666666666667
1776672615000,1085.8666666666666,1086,1085.3333333333333
1776672620000,1083.8,1084,1083.3333333333333
1776672625000,1082.6666666666667,1082.6,1082.3333333333335
1776672630000,1080,1079.9333333333334,1081
1776672635000,1082.9333333333334,1082.8,1083.3333333333333
1776672640000,1085.2,1085.3333333333333,1085.3333333333333
1776672645000,1085,1085.1333333333332,1084.6666666666667
1776672650000,1085.1333333333332,1085.2,1085.3333333333333
1776672655000,1088.5333333333333,1088.4666666666667,1088
1776672660000,1089.7333333333333,1089.6666666666667,1088.6666666666665
1776672665000,1085.7333333333333,1086,1085.3333333333333
1776672670000,1081.7333333333333,1081.9333333333334,1081.6666666666665
1776672675000,1081.8666666666666,1081.8666666666666,1082.6666666666665
1776672680000,1084.1333333333332,1084,1084.3333333333335
1776672685000,1086.7333333333333,1086.6666666666667,1087
1776672690000,1087.6,1087.7333333333333,1088
1776672695000,1087.8666666666666,1087.9333333333334,1087.3333333333335
1776672700000,1084.8,1084.8,1084.6666666666667
1776672705000,1084.5333333333333,1084.3333333333333,1083.6666666666667
