"Time","fabric-orderer CPU Usage","fabric-peers CPU Usage","node_exporter CPU Usage"
2026-04-14 20:49:00,,,0.00400
2026-04-14 20:49:15,,,0.00400
2026-04-14 20:49:30,,,0.00200
2026-04-14 20:49:45,0.00200,0.0160,0.00400
2026-04-14 20:50:00,0.0100,0.0700,0.00400
2026-04-14 20:50:15,0.0440,0.166,0.00400
2026-04-14 20:50:30,0.0400,0.118,0.00400
2026-04-14 20:50:45,0,0.0180,0.00400
2026-04-14 20:51:00,0.0800,0.294,0.00200
2026-04-14 20:51:15,0.0880,0.326,0.00200
2026-04-14 20:51:30,0.108,0.398,0.00600
2026-04-14 20:51:45,0.116,0.436,0.00400
2026-04-14 20:52:00,0.142,0.538,0.00400
2026-04-14 20:52:15,0.198,0.736,0.00400
2026-04-14 20:52:30,0.270,1.03,0.00400
2026-04-14 20:52:45,0.726,2.65,0.00600
2026-04-14 20:53:00,0.00200,0.0140,0.00400
2026-04-14 20:53:15,0.738,2.72,0.00400
2026-04-14 20:53:30,0.00200,0.0160,0.00400
2026-04-14 20:53:45,0,6.32,0.00600
2026-04-14 20:54:00,0,6.65,0.00400
2026-04-14 20:54:15,0.00200,6.29,0.00600
2026-04-14 20:54:30,0,6.89,0.00600
2026-04-14 20:54:45,0.00200,8.14,0.00600
2026-04-14 20:55:00,0.00200,8.70,0.00600
2026-04-14 20:55:15,0,0.0120,0.00600
2026-04-14 20:55:30,,,0.00200
2026-04-14 20:55:45,0.0120,0.0460,0.00200
2026-04-14 20:56:00,0.00200,0.0280,0.00200
2026-04-14 20:56:15,0.0500,0.262,0.00400
2026-04-14 20:56:30,0.0480,0.266,0.00400
2026-04-14 20:56:45,0.00200,0.0360,0.00400
2026-04-14 20:57:00,0.0240,0.152,0.00400
2026-04-14 20:57:15,0.0900,0.508,0.00400
2026-04-14 20:57:30,0.102,0.554,0.00400
2026-04-14 20:57:45,0.118,0.652,0.00400
2026-04-14 20:58:00,0.154,0.824,0.00400
2026-04-14 20:58:15,0.190,1.05,0.00400
2026-04-14 20:58:30,0.240,1.36,0.00400
2026-04-14 20:58:45,0.504,2.91,0.00400
2026-04-14 20:59:00,0.664,3.41,0.00400
2026-04-14 20:59:15,0.00200,0.0320,0.00200
2026-04-14 20:59:30,0.0660,1.28,0.00400
2026-04-14 20:59:45,0.368,1.23,0.00400
2026-04-14 21:00:00,0,0.0380,0.00400
2026-04-14 21:00:15,0.00200,5.68,0.00600
2026-04-14 21:00:30,0,6.37,0.00600
2026-04-14 21:00:45,0,6.19,0.00600
2026-04-14 21:01:00,0,6.59,0.00600
2026-04-14 21:01:15,0,8.43,0.00400
2026-04-14 21:01:30,0,9.08,0.00600
2026-04-14 21:01:45,0.00200,0.0240,0.00600
2026-04-14 21:02:00,,,0.00200
2026-04-14 21:02:15,0.0140,0.0960,0.00200
2026-04-14 21:02:30,0.00200,0.0620,0.00400
2026-04-14 21:02:45,0,0.0780,0.00200
2026-04-14 21:03:00,0.0140,0.184,0.00200
2026-04-14 21:03:15,0.0500,0.448,0.00400
2026-04-14 21:03:30,0.0420,0.376,0.00400
2026-04-14 21:03:45,0.0120,0.140,0.00400
2026-04-14 21:04:00,0,0.0720,0.00200
2026-04-14 21:04:15,0,0.0760,0.00200
2026-04-14 21:04:30,0.0440,0.440,0.00200
2026-04-14 21:04:45,0.114,0.920,0.00400
2026-04-14 21:05:00,0.124,1.01,0.00200
2026-04-14 21:05:15,0.140,1.13,0.00400
2026-04-14 21:05:30,0.172,1.40,0.00400
2026-04-14 21:05:45,0.222,1.81,0.00200
2026-04-14 21:06:00,0.328,2.60,0.00400
2026-04-14 21:06:15,0.658,5.18,0.00400
2026-04-14 21:06:30,0.628,4.33,0.00600
2026-04-14 21:06:45,0,0.0760,0.00200
2026-04-14 21:07:00,0,0.0720,0.00400
2026-04-14 21:07:15,0.516,3.61,0.00400
2026-04-14 21:07:30,0.306,1.21,0.00200
2026-04-14 21:07:45,0,0.0780,0.00400
2026-04-14 21:08:00,0.00200,6.55,0.00400
2026-04-14 21:08:15,0.00200,7.24,0.00600
2026-04-14 21:08:30,0,6.44,0.00600
2026-04-14 21:08:45,0,6.48,0.00600
2026-04-14 21:09:00,0,6.96,0.00800
2026-04-14 21:09:15,0,7.61,0.00600
2026-04-14 21:09:30,0,7.71,0.00400
2026-04-14 21:09:45,0,0.0700,0.00200
2026-04-14 21:10:00,,,0.00200
2026-04-14 21:10:15,0.0200,0.264,0.00400
