Time,OrdererCPU,PeersCPU,HostCPU
0,0.0200,0.264,0.00400
15,0,0.178,0.00200
30,0.00200,0.146,0.00600
45,0,0.146,0.00200
60,0,0.158,0.00200
75,0.00800,0.298,0.00200
90,0.0240,0.418,0.00200
105,0.0540,0.698,0.00200
120,0.0640,0.794,0.00400
135,0.0260,0.444,0.00400
150,0.00200,0.166,0.00200
165,0,0.140,0.00200
180,0,0.144,0
195,0,0.178,0.00400
210,0,0.146,0.00400
225,0.0820,1.04,0.00200
240,0.166,1.80,0.00400
255,0.192,2.07,0.00200
270,0.228,2.46,0.00200
285,0.282,3.07,0.00200
300,0.346,3.72,0.00400
315,0.514,5.75,0.00400
330,0.660,8.60,0.00600
345,0.474,6.87,0.00600
360,0,0.142,0.00200
375,0.00200,0.162,0.00400
390,0.00200,0.134,0.00200
405,0.380,4.73,0.00200
420,0.204,0.908,0.00600
435,0.00200,0.666,0.00200
450,0.584,3.62,0.00600
465,0.00200,0.144,0.00400
480,0,0.138,0.00400
495,0,0.170,0.00200
510,0,0.160,0.00400
525,0,7.35,0.00600
540,0,6.72,0.00400
555,0.00200,6.36,0.00600
570,0.00200,6.58,0.00400
585,0.00200,7.20,0.00400
600,0.00200,8.56,0.00600
615,0,0.162,0.00400
630,0,0.152,0.00400
