Time,OrdererCPU,PeersCPU,HostCPU
0,0.00200,0.0160,0.00400
15,0.0100,0.0700,0.00400
30,0.0440,0.166,0.00400
45,0.0400,0.118,0.00400
60,0,0.0180,0.00400
75,0.0800,0.294,0.00200
90,0.0880,0.326,0.00200
105,0.108,0.398,0.00600
120,0.116,0.436,0.00400
135,0.142,0.538,0.00400
150,0.198,0.736,0.00400
165,0.270,1.03,0.00400
180,0.726,2.65,0.00600
195,0.00200,0.0140,0.00400
210,0.738,2.72,0.00400
225,0.00200,0.0160,0.00400
240,0,6.32,0.00600
255,0,6.65,0.00400
270,0.00200,6.29,0.00600
285,0,6.89,0.00600
300,0.00200,8.14,0.00600
315,0.00200,8.70,0.00600
330,0,0.0120,0.00600
345,,,0.00200
360,0.0120,0.0460,0.00200
375,0.00200,0.0280,0.00200
390,0.0500,0.262,0.00400
405,0.0480,0.266,0.00400
420,0.00200,0.0360,0.00400
435,0.0240,0.152,0.00400
450,0.0900,0.508,0.00400
465,0.102,0.554,0.00400
480,0.118,0.652,0.00400
495,0.154,0.824,0.00400
510,0.190,1.05,0.00400
525,0.240,1.36,0.00400
540,0.504,2.91,0.00400
555,0.664,3.41,0.00400
570,0.00200,0.0320,0.00200
585,0.0660,1.28,0.00400
600,0.368,1.23,0.00400
615,0,0.0380,0.00400
630,0.00200,5.68,0.00600
645,0,6.37,0.00600
660,0,6.19,0.00600
675,0,6.59,0.00600
690,0,8.43,0.00400
705,0,9.08,0.00600
720,0.00200,0.0240,0.00600
735,,,0.00200
750,0.0140,0.0960,0.00200
765,0.00200,0.0620,0.00400
780,0,0.0780,0.00200
795,0.0140,0.184,0.00200
810,0.0500,0.448,0.00400
825,0.0420,0.376,0.00400
840,0.0120,0.140,0.00400
855,0,0.0720,0.00200
870,0,0.0760,0.00200
885,0.0440,0.440,0.00200
900,0.114,0.920,0.00400
915,0.124,1.01,0.00200
930,0.140,1.13,0.00400
945,0.172,1.40,0.00400
960,0.222,1.81,0.00200
975,0.328,2.60,0.00400
990,0.658,5.18,0.00400
1005,0.628,4.33,0.00600
1020,0,0.0760,0.00200
1035,0,0.0720,0.00400
1050,0.516,3.61,0.00400
1065,0.306,1.21,0.00200
1080,0,0.0780,0.00400
1095,0.00200,6.55,0.00400
1110,0.00200,7.24,0.00600
1125,0,6.44,0.00600
1140,0,6.48,0.00600
1155,0,6.96,0.00800
1170,0,7.61,0.00600
1185,0,7.71,0.00400
1200,0,0.0700,0.00200
1215,,,0.00200
1230,0.0200,0.264,0.00400
1245,0,0.178,0.00200
1260,0.00200,0.146,0.00600
1275,0,0.146,0.00200
1290,0,0.158,0.00200
1305,0.00800,0.298,0.00200
1320,0.0240,0.418,0.00200
1335,0.0540,0.698,0.00200
1350,0.0640,0.794,0.00400
1365,0.0260,0.444,0.00400
1380,0.00200,0.166,0.00200
1395,0,0.140,0.00200
1410,0,0.144,0
1425,0,0.178,0.00400
1440,0,0.146,0.00400
1455,0.0820,1.04,0.00200
1470,0.166,1.80,0.00400
1485,0.192,2.07,0.00200
1500,0.228,2.46,0.00200
1515,0.282,3.07,0.00200
1530,0.346,3.72,0.00400
1545,0.514,5.75,0.00400
1560,0.660,8.60,0.00600
1575,0.474,6.87,0.00600
1590,0,0.142,0.00200
1605,0.00200,0.162,0.00400
1620,0.00200,0.134,0.00200
1635,0.380,4.73,0.00200
1650,0.204,0.908,0.00600
1665,0.00200,0.666,0.00200
1680,0.584,3.62,0.00600
1695,0.00200,0.144,0.00400
1710,0,0.138,0.00400
1725,0,0.170,0.00200
1740,0,0.160,0.00400
1755,0,7.35,0.00600
1770,0,6.72,0.00400
1785,0.00200,6.36,0.00600
1800,0.00200,6.58,0.00400
1815,0.00200,7.20,0.00400
1830,0.00200,8.56,0.00600
1845,0,0.162,0.00400
1860,,0.152,0.00400
1875,,,0.00400
