"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2026-04-14 20:49:00,0.600%,1.45%,0%,0.225%,0%,97.7%
2026-04-14 20:49:15,1.07%,3.17%,0.0250%,0.287%,0%,95.3%
2026-04-14 20:49:30,1.36%,5.28%,0.0750%,0.275%,0%,92.8%
2026-04-14 20:49:45,1.09%,2.61%,0.0375%,0.338%,0%,95.5%
2026-04-14 20:50:00,1.79%,12.5%,0.0625%,0.400%,0%,85.1%
2026-04-14 20:50:15,1.15%,5.01%,0.112%,0.388%,0%,93.1%
2026-04-14 20:50:30,0.900%,4.49%,0.112%,0.387%,0%,93.7%
2026-04-14 20:50:45,0.775%,1.91%,0.0250%,0.275%,0%,96.9%
2026-04-14 20:51:00,1.38%,10.3%,0.287%,0.675%,0%,86.9%
2026-04-14 20:51:15,2.01%,11.0%,0.300%,0.725%,0%,85.4%
2026-04-14 20:51:30,1.39%,8.94%,0.337%,0.750%,0%,87.8%
2026-04-14 20:51:45,1.46%,9.76%,0.425%,0.750%,0%,86.9%
2026-04-14 20:52:00,1.56%,11.0%,0.525%,0.750%,0%,85.5%
2026-04-14 20:52:15,2.10%,14.9%,0.663%,0.925%,0%,80.6%
2026-04-14 20:52:30,2.70%,21.2%,0.950%,1.16%,0%,72.9%
2026-04-14 20:52:45,6.45%,53.0%,1.83%,2.19%,0%,33.5%
2026-04-14 20:53:00,0.687%,1.41%,0.0125%,0.275%,0%,97.4%
2026-04-14 20:53:15,6.46%,52.5%,1.84%,2.20%,0%,33.9%
2026-04-14 20:53:30,0.675%,1.54%,0%,0.225%,0%,97.4%
2026-04-14 20:53:45,10.1%,77.7%,0%,1.89%,0%,8.47%
2026-04-14 20:54:00,9.82%,78.4%,0.0125%,1.90%,0%,8.09%
2026-04-14 20:54:15,10.2%,76.4%,0%,1.97%,0%,9.56%
2026-04-14 20:54:30,8.79%,78.5%,0.0125%,1.92%,0%,8.99%
2026-04-14 20:54:45,4.95%,73.6%,0%,1.99%,0%,17.1%
2026-04-14 20:55:00,5.00%,73.7%,0%,2.01%,0%,17.1%
2026-04-14 20:55:15,1.000%,2.25%,0.0375%,0.325%,0%,96.2%
2026-04-14 20:55:30,1.87%,2.99%,0.0875%,0.313%,0%,94.5%
2026-04-14 20:55:45,1.14%,5.52%,0.0375%,0.375%,0%,92.7%
2026-04-14 20:56:00,0.875%,7.71%,0%,0.325%,0%,90.9%
2026-04-14 20:56:15,1.25%,5.89%,0.237%,0.513%,0%,91.7%
2026-04-14 20:56:30,1.09%,5.45%,0.175%,0.512%,0%,92.4%
2026-04-14 20:56:45,0.687%,1.59%,0.0125%,0.300%,0%,97.2%
