Time,Busy System,Busy User,Busy Iowait,Busy IRQs,Busy Other,Idle
0,2.21,5.00,0.175,0.588,0,91.4
15,1.60,9.41,0,0.575,0,87.9
30,0.675,1.84,0.0125,0.300,0,96.8
45,0.700,1.86,0.0250,0.362,0,96.7
60,0.713,2.00,0.0125,0.300,0,96.6
75,1.15,3.36,0.0625,0.437,0,94.7
90,1.16,3.96,0.0500,0.488,0,93.8
105,1.51,7.04,0.162,0.662,0,89.8
120,1.59,7.63,0.237,0.750,0,89.3
135,1.27,5.11,0.137,0.588,0,92.4
150,0.675,1.91,0.0375,0.375,0,96.6
165,0.675,1.90,0.0125,0.350,0,96.7
180,0.613,1.78,0.0250,0.375,0,96.8
195,0.850,2.63,0.0125,0.363,0,95.8
210,0.737,1.70,0.0375,0.400,0,96.8
225,1.82,8.89,0.212,0.812,0,87.4
240,2.69,15.7,0.413,1.18,0,79.1
255,3.21,18.2,0.500,1.35,0,75.9
270,3.59,20.5,0.550,1.54,0,72.8
285,4.09,25.1,0.663,1.70,0,67.4
300,4.92,30.8,0.825,2.05,0,60.3
315,7.97,48.6,1.19,2.91,0,37.3
330,11.2,73.9,1.35,3.46,0,7.97
345,9.10,62.1,1.86,3.06,0,21.8
360,0.763,1.74,0.0125,0.363,0,96.7
375,0.875,2.87,0.0250,0.425,0,95.4
390,0.675,1.86,0.0375,0.312,0,96.6
405,5.20,29.9,0.775,1.94,0,60.9
420,3.44,20.1,0.463,1.39,0,73.7
435,0.925,2.79,0.0250,0.413,0,95.3
450,8.50,54.2,1.47,3.01,0,30.7
465,0.725,2.39,0.0125,0.338,0,96.1
480,0.725,1.92,0.0250,0.375,0,96.6
495,0.875,2.65,0.0250,0.363,0,95.7
510,0.725,1.90,0,0.375,0,96.6
525,10.8,75.1,0.0125,2.11,0,10.0
540,10.8,77.5,0.0125,2.05,0,7.81
555,10.8,76.6,0.0375,2.06,0,8.65
570,10.6,77.7,0.0125,1.99,0,8.00
585,10.2,74.1,0,2.16,0,11.3
600,4.89,72.8,0.0250,2.19,0,17.3
615,1.07,2.73,0.0250,0.425,0,95.2
630,0.613,1.68,0.0125,0.363,0,97.0
645,0.663,1.38,0.0125,0.175,0,97.6
