Time,System - Processes executing in kernel mode,User - Normal processes executing in user mode,Nice - Niced processes executing in user mode,Iowait - Waiting for I/O to complete,Irq - Servicing interrupts,Softirq - Servicing softirqs,Steal - Time spent in other operating systems when running in a virtualized environment,Idle - Waiting for something to happen
0,1.09,2.61,0,0.0375,0.225,0.112,0,95.5
15,1.79,12.5,0,0.0625,0.237,0.163,0,85.1
30,1.15,5.01,0,0.112,0.225,0.162,0,93.1
45,0.900,4.49,0,0.112,0.212,0.175,0,93.7
60,0.775,1.91,0,0.0250,0.150,0.125,0,96.9
75,1.38,10.3,0,0.287,0.350,0.325,0,86.9
90,2.01,11.0,0,0.300,0.425,0.300,0,85.4
105,1.39,8.94,0,0.337,0.413,0.338,0,87.8
120,1.46,9.76,0,0.425,0.400,0.350,0,86.9
135,1.56,11.0,0,0.525,0.400,0.350,0,85.5
150,2.10,14.9,0,0.663,0.463,0.462,0,80.6
165,2.70,21.2,0,0.950,0.600,0.562,0,72.9
180,6.45,53.0,0,1.83,1.04,1.15,0,33.5
195,0.687,1.41,0,0.0125,0.175,0.1000,0,97.4
210,6.46,52.5,0,1.84,1.05,1.15,0,33.9
225,0.675,1.54,0,0,0.125,0.100,0,97.4
240,10.1,77.7,0,0,0.700,1.19,0,8.47
255,9.82,78.4,0,0.0125,0.775,1.12,0,8.09
270,10.2,76.4,0,0,0.825,1.15,0,9.56
285,8.79,78.5,0,0.0125,0.763,1.16,0,8.99
300,4.95,73.6,0,0,0.725,1.26,0,17.1
315,5.00,73.7,0,0,0.738,1.27,0,17.1
330,1.000,2.25,0,0.0375,0.187,0.138,0,96.2
345,1.87,2.99,0,0.0875,0.188,0.125,0,94.5
360,1.14,5.52,0,0.0375,0.225,0.150,0,92.7
375,0.875,7.71,0,0,0.213,0.113,0,90.9
390,1.25,5.89,0,0.237,0.250,0.263,0,91.7
405,1.09,5.45,0,0.175,0.250,0.262,0,92.4
420,0.687,1.59,0,0.0125,0.188,0.113,0,97.2
435,1.04,3.76,0,0.150,0.225,0.187,0,94.4
450,1.85,10.3,0,0.312,0.413,0.350,0,86.1
465,1.81,11.9,0,0.400,0.425,0.375,0,84.5
480,2.09,13.4,0,0.387,0.488,0.375,0,82.6
495,2.64,17.0,0,0.475,0.625,0.512,0,77.9
510,2.82,18.2,0,0.637,0.625,0.525,0,76.2
525,3.35,22.8,0,0.750,0.687,0.638,0,70.7
540,5.25,38.5,0,1.32,1.14,1.000,0,50.2
555,6.51,49.5,0,1.66,1.11,1.16,0,37.4
570,0.813,2.28,0,0.0250,0.238,0.0625,0,96.3
585,0.975,3.72,0,0.113,0.225,0.200,0,94.6
600,4.08,27.7,0,1.26,0.825,0.775,0,63.5
615,0.763,2.64,0,0.0250,0.175,0.0625,0,96.1
630,10.7,77.0,0,0,0.875,1.11,0,8.40
645,10.5,77.9,0,0,0.825,1.14,0,8.09
660,10.6,75.8,0,0.0125,0.725,1.25,0,9.91
675,10.4,77.0,0,0,0.725,1.12,0,8.85
690,5.35,72.9,0,0,0.750,1.35,0,17.3
705,5.24,73.1,0,0.0125,0.775,1.21,0,17.4
720,0.813,1.35,0,0.0250,0.163,0.113,0,97.4
735,0.612,1.84,0,0,0.138,0.137,0,97.2
750,1.47,3.11,0,0.0875,0.238,0.175,0,94.7
765,1.00,8.09,0,0.0250,0.163,0.125,0,90.3
780,0.650,1.60,0,0.0250,0.175,0.1000,0,97.2
795,1.03,3.66,0,0.0500,0.213,0.150,0,94.5
810,1.42,6.25,0,0.150,0.338,0.325,0,91.1
825,1.11,5.00,0,0.225,0.262,0.250,0,92.7
840,0.987,3.94,0,0.0375,0.350,0.175,0,94.2
855,0.663,2.11,0,0.0250,0.188,0.0625,0,96.7
870,0.812,1.61,0,0.0125,0.125,0.112,0,97.0
885,1.21,4.80,0,0.187,0.288,0.200,0,93.0
900,1.79,11.1,0,0.337,0.450,0.450,0,85.1
915,1.75,11.5,0,0.412,0.475,0.437,0,84.7
930,2.11,12.2,0,0.500,0.450,0.475,0,83.2
945,2.39,14.9,0,0.550,0.525,0.550,0,80.0
960,2.88,18.4,0,0.762,0.575,0.650,0,75.5
975,4.66,31.7,0,0.937,0.963,0.888,0,59.2
990,8.16,54.6,0,1.57,1.39,1.46,0,30.2
1005,8.29,55.4,0,1.42,1.32,1.39,0,30.3
1020,0.863,2.66,0,0.0500,0.288,0.113,0,95.9
1035,0.613,1.11,0,0.0250,0.163,0.1000,0,97.7
1050,5.85,38.0,0,1.37,0.975,1.06,0,50.9
1065,3.76,25.1,0,0.913,0.688,0.750,0,67.3
1080,0.675,1.59,0,0.0375,0.175,0.163,0,97.0
1095,3.76,40.7,0,0.0250,0.537,0.987,0,52.1
1110,9.87,75.9,0,0.0125,0.687,1.26,0,10.4
1125,11.1,77.4,0,0.0250,0.725,1.15,0,7.96
1140,10.4,77.7,0,0,0.750,1.23,0,8.30
1155,10.4,77.4,0,0,0.712,1.19,0,8.55
1170,9.89,76.0,0,0.0125,0.713,1.32,0,10.1
1185,8.33,74.7,0,0,0.975,1.14,0,12.7
1200,0.888,1.48,0,0.0375,0.163,0.125,0,97.1
1215,1.90,2.86,0,0.162,0.175,0.150,0,94.5
1230,2.21,5.00,0,0.175,0.325,0.263,0,91.4
1245,1.60,9.41,0,0,0.262,0.312,0,87.9
1260,0.675,1.84,0,0.0125,0.225,0.0750,0,96.8
1275,0.700,1.86,0,0.0250,0.212,0.150,0,96.7
1290,0.713,2.00,0,0.0125,0.187,0.113,0,96.6
1305,1.15,3.36,0,0.0625,0.237,0.200,0,94.7
1320,1.16,3.96,0,0.0500,0.263,0.225,0,93.8
1335,1.51,7.04,0,0.162,0.325,0.337,0,89.8
1350,1.59,7.63,0,0.237,0.338,0.412,0,89.3
1365,1.27,5.11,0,0.137,0.313,0.275,0,92.4
1380,0.675,1.91,0,0.0375,0.262,0.112,0,96.6
1395,0.675,1.90,0,0.0125,0.200,0.150,0,96.7
1410,0.613,1.78,0,0.0250,0.212,0.162,0,96.8
1425,0.850,2.63,0,0.0125,0.213,0.150,0,95.8
1440,0.737,1.70,0,0.0375,0.262,0.137,0,96.8
1455,1.82,8.89,0,0.212,0.362,0.450,0,87.4
1470,2.69,15.7,0,0.413,0.525,0.650,0,79.1
1485,3.21,18.2,0,0.500,0.600,0.750,0,75.9
1500,3.59,20.5,0,0.550,0.650,0.887,0,72.8
1515,4.09,25.1,0,0.663,0.725,0.975,0,67.4
1530,4.92,30.8,0,0.825,0.825,1.23,0,60.3
1545,7.97,48.6,0,1.19,1.22,1.69,0,37.3
1560,11.2,73.9,0,1.35,1.49,1.97,0,7.97
1575,9.10,62.1,0,1.86,1.43,1.64,0,21.8
1590,0.763,1.74,0,0.0125,0.225,0.138,0,96.7
1605,0.875,2.87,0,0.0250,0.238,0.187,0,95.4
1620,0.675,1.86,0,0.0375,0.188,0.125,0,96.6
1635,5.20,29.9,0,0.775,0.850,1.09,0,60.9
1650,3.44,20.1,0,0.463,0.600,0.788,0,73.7
1665,0.925,2.79,0,0.0250,0.250,0.162,0,95.3
1680,8.50,54.2,0,1.47,1.32,1.69,0,30.7
1695,0.725,2.39,0,0.0125,0.213,0.125,0,96.1
1710,0.725,1.92,0,0.0250,0.200,0.175,0,96.6
1725,0.875,2.65,0,0.0250,0.213,0.150,0,95.7
1740,0.725,1.90,0,0,0.213,0.163,0,96.6
1755,10.8,75.1,0,0.0125,0.838,1.28,0,10.0
1770,10.8,77.5,0,0.0125,0.825,1.23,0,7.81
1785,10.8,76.6,0,0.0375,0.800,1.26,0,8.65
1800,10.6,77.7,0,0.0125,0.787,1.20,0,8.00
1815,10.2,74.1,0,0,0.825,1.34,0,11.3
1830,4.89,72.8,0,0.0250,0.850,1.34,0,17.3
1845,1.07,2.73,0,0.0250,0.225,0.200,0,95.2
1860,0.613,1.68,0,0.0125,0.175,0.187,0,97.0
1875,0.663,1.38,0,0.0125,0.112,0.0625,0,97.6
