"Time","nvme0n1 - Reads completed","nvme0n1 - Writes completed"
2026-04-14 20:49:00,0.200 io/s,2.20 io/s
2026-04-14 20:49:15,,28.4 io/s
2026-04-14 20:49:30,,187 io/s
2026-04-14 20:49:45,,112 io/s
2026-04-14 20:50:00,1.60 io/s,256 io/s
2026-04-14 20:50:15,,426 io/s
2026-04-14 20:50:30,,432 io/s
2026-04-14 20:50:45,,62 io/s
2026-04-14 20:51:00,0 io/s,843 io/s
2026-04-14 20:51:15,,989 io/s
2026-04-14 20:51:30,,1.10K io/s
2026-04-14 20:51:45,,1.37K io/s
2026-04-14 20:52:00,0 io/s,1.73K io/s
2026-04-14 20:52:15,,2.43K io/s
2026-04-14 20:52:30,,3.86K io/s
2026-04-14 20:52:45,,7.91K io/s
2026-04-14 20:53:00,0 io/s,1 io/s
2026-04-14 20:53:15,,8.08K io/s
2026-04-14 20:53:30,,2.40 io/s
2026-04-14 20:53:45,,2.20 io/s
2026-04-14 20:54:00,0 io/s,2 io/s
2026-04-14 20:54:15,,2.60 io/s
2026-04-14 20:54:30,,26.2 io/s
2026-04-14 20:54:45,,2.60 io/s
2026-04-14 20:55:00,0 io/s,4.20 io/s
2026-04-14 20:55:15,,33.4 io/s
2026-04-14 20:55:30,,651 io/s
2026-04-14 20:55:45,,145 io/s
2026-04-14 20:56:00,0 io/s,30 io/s
2026-04-14 20:56:15,,573 io/s
2026-04-14 20:56:30,,558 io/s
2026-04-14 20:56:45,,24.8 io/s
2026-04-14 20:57:00,2 io/s,387 io/s
2026-04-14 20:57:15,,1.17K io/s
2026-04-14 20:57:30,,1.38K io/s
2026-04-14 20:57:45,,1.64K io/s
2026-04-14 20:58:00,1.80 io/s,1.99K io/s
2026-04-14 20:58:15,,2.58K io/s
2026-04-14 20:58:30,,3.59K io/s
2026-04-14 20:58:45,,6.43K io/s
2026-04-14 20:59:00,0.200 io/s,7.92K io/s
2026-04-14 20:59:15,,22.6 io/s
2026-04-14 20:59:30,,349 io/s
2026-04-14 20:59:45,,5.85K io/s
2026-04-14 21:00:00,0 io/s,11.2 io/s
2026-04-14 21:00:15,,9.60 io/s
2026-04-14 21:00:30,,118 io/s
2026-04-14 21:00:45,,278 io/s
2026-04-14 21:01:00,0.600 io/s,256 io/s
2026-04-14 21:01:15,,41.4 io/s
2026-04-14 21:01:30,,7.60 io/s
2026-04-14 21:01:45,,9 io/s
2026-04-14 21:02:00,3.60 io/s,4.60 io/s
2026-04-14 21:02:15,,247 io/s
2026-04-14 21:02:30,,51.6 io/s
2026-04-14 21:02:45,,3 io/s
2026-04-14 21:03:00,0.400 io/s,233 io/s
2026-04-14 21:03:15,,649 io/s
2026-04-14 21:03:30,,599 io/s
2026-04-14 21:03:45,,123 io/s
2026-04-14 21:04:00,0 io/s,0.800 io/s
2026-04-14 21:04:15,,4 io/s
2026-04-14 21:04:30,,552 io/s
2026-04-14 21:04:45,,1.65K io/s
2026-04-14 21:05:00,0 io/s,1.93K io/s
2026-04-14 21:05:15,,2.30K io/s
2026-04-14 21:05:30,,2.84K io/s
2026-04-14 21:05:45,,3.77K io/s
2026-04-14 21:06:00,0.800 io/s,5.11K io/s
2026-04-14 21:06:15,,8.80K io/s
2026-04-14 21:06:30,,9.14K io/s
2026-04-14 21:06:45,,26.6 io/s
2026-04-14 21:07:00,0 io/s,3.20 io/s
2026-04-14 21:07:15,,7.42K io/s
2026-04-14 21:07:30,,5.01K io/s
2026-04-14 21:07:45,,17.4 io/s
2026-04-14 21:08:00,0 io/s,79.6 io/s
2026-04-14 21:08:15,,137 io/s
2026-04-14 21:08:30,,204 io/s
2026-04-14 21:08:45,,85.8 io/s
2026-04-14 21:09:00,0 io/s,88.8 io/s
2026-04-14 21:09:15,,88.8 io/s
2026-04-14 21:09:30,,60.2 io/s
2026-04-14 21:09:45,,10.4 io/s
2026-04-14 21:10:00,21 io/s,1.02K io/s
2026-04-14 21:10:15,,474 io/s
2026-04-14 21:10:30,,60.6 io/s
2026-04-14 21:10:45,,22.2 io/s
2026-04-14 21:11:00,0 io/s,3.40 io/s
2026-04-14 21:11:15,,2 io/s
2026-04-14 21:11:30,,48.8 io/s
2026-04-14 21:11:45,,294 io/s
2026-04-14 21:12:00,0 io/s,797 io/s
2026-04-14 21:12:15,,908 io/s
2026-04-14 21:12:30,,345 io/s
2026-04-14 21:12:45,,47.4 io/s
2026-04-14 21:13:00,0 io/s,4.40 io/s
2026-04-14 21:13:15,,20.8 io/s
2026-04-14 21:13:30,,7.60 io/s
2026-04-14 21:13:45,,4 io/s
2026-04-14 21:14:00,0 io/s,1.20K io/s
2026-04-14 21:14:15,,2.80K io/s
2026-04-14 21:14:30,,3.28K io/s
2026-04-14 21:14:45,,3.93K io/s
2026-04-14 21:15:00,0 io/s,4.63K io/s
