Time,nvme0n1 - Reads completed,nvme0n1 - Writes completed
0,,112 io/s
15,1.60 io/s,256 io/s
30,,426 io/s
45,,432 io/s
60,,62 io/s
75,0 io/s,843 io/s
90,,989 io/s
105,,1.10K io/s
120,,1.37K io/s
135,0 io/s,1.73K io/s
150,,2.43K io/s
165,,3.86K io/s
180,,7.91K io/s
195,0 io/s,1 io/s
210,,8.08K io/s
225,,2.40 io/s
240,,2.20 io/s
255,0 io/s,2 io/s
270,,2.60 io/s
285,,26.2 io/s
300,,2.60 io/s
315,0 io/s,4.20 io/s
330,,33.4 io/s
345,,651 io/s
360,,145 io/s
375,0 io/s,30 io/s
390,,573 io/s
405,,558 io/s
420,,24.8 io/s
435,2 io/s,387 io/s
450,,1.17K io/s
465,,1.38K io/s
480,,1.64K io/s
495,1.80 io/s,1.99K io/s
510,,2.58K io/s
525,,3.59K io/s
540,,6.43K io/s
555,0.200 io/s,7.92K io/s
570,,22.6 io/s
585,,349 io/s
600,,5.85K io/s
615,0 io/s,11.2 io/s
630,,9.60 io/s
645,,118 io/s
660,,278 io/s
675,0.600 io/s,256 io/s
690,,41.4 io/s
705,,7.60 io/s
720,,9 io/s
735,3.60 io/s,4.60 io/s
750,,247 io/s
765,,51.6 io/s
780,,3 io/s
795,0.400 io/s,233 io/s
810,,649 io/s
825,,599 io/s
840,,123 io/s
855,0 io/s,0.800 io/s
870,,4 io/s
885,,552 io/s
900,,1.65K io/s
915,0 io/s,1.93K io/s
930,,2.30K io/s
945,,2.84K io/s
960,,3.77K io/s
975,0.800 io/s,5.11K io/s
990,,8.80K io/s
1005,,9.14K io/s
1020,,26.6 io/s
1035,0 io/s,3.20 io/s
1050,,7.42K io/s
1065,,5.01K io/s
1080,,17.4 io/s
1095,0 io/s,79.6 io/s
1110,,137 io/s
1125,,204 io/s
1140,,85.8 io/s
1155,0 io/s,88.8 io/s
1170,,88.8 io/s
1185,,60.2 io/s
1200,,10.4 io/s
1215,21 io/s,1.02K io/s
1230,,474 io/s
1245,,60.6 io/s
1260,,22.2 io/s
1275,0 io/s,3.40 io/s
1290,,2 io/s
1305,,48.8 io/s
1320,,294 io/s
1335,0 io/s,797 io/s
1350,,908 io/s
1365,,345 io/s
1380,,47.4 io/s
1395,0 io/s,4.40 io/s
1410,,20.8 io/s
1425,,7.60 io/s
1440,,4 io/s
1455,0 io/s,1.20K io/s
1470,,2.80K io/s
1485,,3.28K io/s
1500,,3.93K io/s
1515,0 io/s,4.63K io/s
1530,,5.92K io/s
1545,,8.67K io/s
1560,,14.1K io/s
1575,0 io/s,13.0K io/s
1590,,12.2 io/s
1605,,3.80 io/s
1620,,1.60 io/s
1635,0 io/s,5.77K io/s
1650,,3.77K io/s
1665,,7.20 io/s
1680,,10.3K io/s
1695,0 io/s,1 io/s
1710,,1 io/s
1725,,32.8 io/s
1740,,2 io/s
1755,14.2 io/s,139 io/s
1770,,2.80 io/s
1785,,1.20 io/s
1800,,1.40 io/s
1815,0 io/s,2.60 io/s
1830,,5 io/s
1845,,10.2 io/s
1860,,1.20 io/s
1875,0 io/s,12.4 io/s
