"Time","nvme0n1 - Successfully read bytes","nvme0n1 - Successfully written bytes"
2026-04-14 20:49:00,2.46 kB/s,18.8 kB/s
2026-04-14 20:49:15,0 B/s,311 kB/s
2026-04-14 20:49:30,383 kB/s,1.70 MB/s
2026-04-14 20:49:45,230 kB/s,933 kB/s
2026-04-14 20:50:00,6.55 kB/s,5.63 MB/s
2026-04-14 20:50:15,0 B/s,2.70 MB/s
2026-04-14 20:50:30,0 B/s,2.64 MB/s
2026-04-14 20:50:45,0 B/s,475 kB/s
2026-04-14 20:51:00,0 B/s,5.02 MB/s
2026-04-14 20:51:15,0 B/s,6.19 MB/s
2026-04-14 20:51:30,0 B/s,6.66 MB/s
2026-04-14 20:51:45,0 B/s,8.25 MB/s
2026-04-14 20:52:00,0 B/s,10.5 MB/s
2026-04-14 20:52:15,0 B/s,16.8 MB/s
2026-04-14 20:52:30,0 B/s,23.2 MB/s
2026-04-14 20:52:45,0 B/s,54.9 MB/s
2026-04-14 20:53:00,0 B/s,25.4 kB/s
2026-04-14 20:53:15,0 B/s,55.0 MB/s
2026-04-14 20:53:30,0 B/s,10.6 kB/s
2026-04-14 20:53:45,0 B/s,29.5 kB/s
2026-04-14 20:54:00,0 B/s,42.6 kB/s
2026-04-14 20:54:15,0 B/s,29.5 kB/s
2026-04-14 20:54:30,0 B/s,193 kB/s
2026-04-14 20:54:45,0 B/s,37.7 kB/s
2026-04-14 20:55:00,0 B/s,53.2 kB/s
2026-04-14 20:55:15,10.6 kB/s,237 kB/s
2026-04-14 20:55:30,323 kB/s,9.96 MB/s
2026-04-14 20:55:45,4.10 kB/s,982 kB/s
2026-04-14 20:56:00,0 B/s,208 kB/s
2026-04-14 20:56:15,0 B/s,3.76 MB/s
2026-04-14 20:56:30,0 B/s,3.70 MB/s
2026-04-14 20:56:45,86.8 kB/s,148 kB/s
2026-04-14 20:57:00,8.19 kB/s,9.50 MB/s
2026-04-14 20:57:15,0 B/s,7.82 MB/s
2026-04-14 20:57:30,0 B/s,9.20 MB/s
2026-04-14 20:57:45,0 B/s,10.8 MB/s
2026-04-14 20:58:00,13.1 kB/s,13.2 MB/s
2026-04-14 20:58:15,0 B/s,17.1 MB/s
2026-04-14 20:58:30,819 B/s,28.1 MB/s
2026-04-14 20:58:45,0 B/s,49.1 MB/s
2026-04-14 20:59:00,819 B/s,57.5 MB/s
2026-04-14 20:59:15,0 B/s,184 kB/s
2026-04-14 20:59:30,0 B/s,2.37 MB/s
2026-04-14 20:59:45,0 B/s,47.0 MB/s
2026-04-14 21:00:00,0 B/s,77.8 kB/s
2026-04-14 21:00:15,0 B/s,173 kB/s
2026-04-14 21:00:30,0 B/s,12.6 MB/s
2026-04-14 21:00:45,0 B/s,21.0 MB/s
2026-04-14 21:01:00,30.3 kB/s,21.0 MB/s
2026-04-14 21:01:15,0 B/s,4.80 MB/s
2026-04-14 21:01:30,0 B/s,45.1 kB/s
2026-04-14 21:01:45,9.83 kB/s,95.8 kB/s
2026-04-14 21:02:00,90.1 kB/s,36.9 kB/s
2026-04-14 21:02:15,343 kB/s,1.65 MB/s
2026-04-14 21:02:30,45.1 kB/s,2.42 MB/s
2026-04-14 21:02:45,0 B/s,22.1 kB/s
2026-04-14 21:03:00,1.64 kB/s,1.87 MB/s
2026-04-14 21:03:15,0 B/s,5.29 MB/s
2026-04-14 21:03:30,0 B/s,4.65 MB/s
2026-04-14 21:03:45,0 B/s,963 kB/s
2026-04-14 21:04:00,0 B/s,17.2 kB/s
2026-04-14 21:04:15,0 B/s,30.3 kB/s
2026-04-14 21:04:30,0 B/s,4.18 MB/s
2026-04-14 21:04:45,0 B/s,13.0 MB/s
2026-04-14 21:05:00,0 B/s,15.0 MB/s
2026-04-14 21:05:15,26.2 kB/s,17.6 MB/s
2026-04-14 21:05:30,0 B/s,21.7 MB/s
2026-04-14 21:05:45,0 B/s,36.1 MB/s
2026-04-14 21:06:00,15.6 kB/s,52.8 MB/s
2026-04-14 21:06:15,0 B/s,80.4 MB/s
2026-04-14 21:06:30,22.1 kB/s,84.4 MB/s
2026-04-14 21:06:45,0 B/s,194 kB/s
2026-04-14 21:07:00,0 B/s,82.7 kB/s
2026-04-14 21:07:15,0 B/s,70.6 MB/s
2026-04-14 21:07:30,0 B/s,38.9 MB/s
2026-04-14 21:07:45,0 B/s,129 kB/s
