"Time","nvme0n1"
2026-04-14 20:49:00,0.200%
2026-04-14 20:49:15,0.180%
2026-04-14 20:49:30,0.740%
2026-04-14 20:49:45,0.760%
2026-04-14 20:50:00,0.640%
2026-04-14 20:50:15,2.10%
2026-04-14 20:50:30,2.04%
2026-04-14 20:50:45,0.280%
2026-04-14 20:51:00,3.54%
2026-04-14 20:51:15,4.44%
2026-04-14 20:51:30,4.70%
2026-04-14 20:51:45,5.88%
2026-04-14 20:52:00,6.94%
2026-04-14 20:52:15,8.72%
2026-04-14 20:52:30,12.7%
2026-04-14 20:52:45,32.0%
2026-04-14 20:53:00,0.240%
2026-04-14 20:53:15,32.0%
2026-04-14 20:53:30,0.0400%
2026-04-14 20:53:45,0.0600%
2026-04-14 20:54:00,0.180%
2026-04-14 20:54:15,0.140%
2026-04-14 20:54:30,0.400%
2026-04-14 20:54:45,0.160%
2026-04-14 20:55:00,0.140%
2026-04-14 20:55:15,0.300%
2026-04-14 20:55:30,1.92%
2026-04-14 20:55:45,0.740%
2026-04-14 20:56:00,0.440%
2026-04-14 20:56:15,2.46%
2026-04-14 20:56:30,2.14%
2026-04-14 20:56:45,0.140%
2026-04-14 20:57:00,1.42%
2026-04-14 20:57:15,4.26%
2026-04-14 20:57:30,4.84%
2026-04-14 20:57:45,5.80%
2026-04-14 20:58:00,6.78%
2026-04-14 20:58:15,8.86%
2026-04-14 20:58:30,10.4%
2026-04-14 20:58:45,19.7%
2026-04-14 20:59:00,27.2%
2026-04-14 20:59:15,0.300%
2026-04-14 20:59:30,1.32%
2026-04-14 20:59:45,17.1%
2026-04-14 21:00:00,0.220%
2026-04-14 21:00:15,0.200%
2026-04-14 21:00:30,0.260%
2026-04-14 21:00:45,0.580%
2026-04-14 21:01:00,0.540%
2026-04-14 21:01:15,0.240%
2026-04-14 21:01:30,0.280%
2026-04-14 21:01:45,0.200%
2026-04-14 21:02:00,0.180%
2026-04-14 21:02:15,1.24%
2026-04-14 21:02:30,0.600%
2026-04-14 21:02:45,0.200%
2026-04-14 21:03:00,0.840%
2026-04-14 21:03:15,1.96%
2026-04-14 21:03:30,3.10%
2026-04-14 21:03:45,0.380%
2026-04-14 21:04:00,0.140%
2026-04-14 21:04:15,0.200%
2026-04-14 21:04:30,1.90%
2026-04-14 21:04:45,4.68%
2026-04-14 21:05:00,5.78%
2026-04-14 21:05:15,6.32%
2026-04-14 21:05:30,7.84%
2026-04-14 21:05:45,10.7%
2026-04-14 21:06:00,13.0%
2026-04-14 21:06:15,26.0%
2026-04-14 21:06:30,25.8%
2026-04-14 21:06:45,0.200%
2026-04-14 21:07:00,0.180%
2026-04-14 21:07:15,19.4%
2026-04-14 21:07:30,13.1%
2026-04-14 21:07:45,0.180%
2026-04-14 21:08:00,0.340%
2026-04-14 21:08:15,0.380%
2026-04-14 21:08:30,0.760%
2026-04-14 21:08:45,0.420%
2026-04-14 21:09:00,0.280%
2026-04-14 21:09:15,0.280%
2026-04-14 21:09:30,0.120%
2026-04-14 21:09:45,0.120%
2026-04-14 21:10:00,2.54%
2026-04-14 21:10:15,2.28%
2026-04-14 21:10:30,0.440%
2026-04-14 21:10:45,0.0800%
2026-04-14 21:11:00,0.300%
2026-04-14 21:11:15,0.180%
2026-04-14 21:11:30,0.320%
2026-04-14 21:11:45,0.720%
2026-04-14 21:12:00,2.24%
2026-04-14 21:12:15,3.88%
2026-04-14 21:12:30,1.06%
2026-04-14 21:12:45,0.280%
2026-04-14 21:13:00,0.120%
2026-04-14 21:13:15,0.200%
2026-04-14 21:13:30,0.320%
2026-04-14 21:13:45,0.300%
2026-04-14 21:14:00,3.28%
2026-04-14 21:14:15,7.28%
2026-04-14 21:14:30,7.78%
2026-04-14 21:14:45,8.62%
2026-04-14 21:15:00,11.1%
2026-04-14 21:15:15,13.8%
2026-04-14 21:15:30,21.4%
2026-04-14 21:15:45,33.9%
2026-04-14 21:16:00,35.7%
2026-04-14 21:16:15,0.180%
2026-04-14 21:16:30,0.260%
2026-04-14 21:16:45,0.280%
2026-04-14 21:17:00,13.4%
2026-04-14 21:17:15,8.30%
2026-04-14 21:17:30,0.120%
2026-04-14 21:17:45,26.9%
2026-04-14 21:18:00,0.160%
2026-04-14 21:18:15,0.120%
2026-04-14 21:18:30,0.220%
2026-04-14 21:18:45,0.0600%
2026-04-14 21:19:00,1.10%
2026-04-14 21:19:15,0.820%
2026-04-14 21:19:30,0.480%
2026-04-14 21:19:45,0.800%
2026-04-14 21:20:00,0.140%
2026-04-14 21:20:15,0.180%
2026-04-14 21:20:30,0.400%
2026-04-14 21:20:45,0.120%
2026-04-14 21:21:00,0.0600%
