Time,nvme0n1
0,0.760
15,0.640
30,2.10
45,2.04
60,0.280
75,3.54
90,4.44
105,4.70
120,5.88
135,6.94
150,8.72
165,12.7
180,32.0
195,0.240
210,32.0
225,0.0400
240,0.0600
255,0.180
270,0.140
285,0.400
300,0.160
315,0.140
330,0.300
345,1.92
360,0.740
375,0.440
390,2.46
405,2.14
420,0.140
435,1.42
450,4.26
465,4.84
480,5.80
495,6.78
510,8.86
525,10.4
540,19.7
555,27.2
570,0.300
585,1.32
600,17.1
615,0.220
630,0.200
645,0.260
660,0.580
675,0.540
690,0.240
705,0.280
720,0.200
735,0.180
750,1.24
765,0.600
780,0.200
795,0.840
810,1.96
825,3.10
840,0.380
855,0.140
870,0.200
885,1.90
900,4.68
915,5.78
930,6.32
945,7.84
960,10.7
975,13.0
990,26.0
1005,25.8
1020,0.200
1035,0.180
1050,19.4
1065,13.1
1080,0.180
1095,0.340
1110,0.380
1125,0.760
1140,0.420
1155,0.280
1170,0.280
1185,0.120
1200,0.120
1215,2.54
1230,2.28
1245,0.440
1260,0.0800
1275,0.300
1290,0.180
1305,0.320
1320,0.720
1335,2.24
1350,3.88
1365,1.06
1380,0.280
1395,0.120
1410,0.200
1425,0.320
1440,0.300
1455,3.28
1470,7.28
1485,7.78
1500,8.62
1515,11.1
1530,13.8
1545,21.4
1560,33.9
1575,35.7
1590,0.180
1605,0.260
1620,0.280
1635,13.4
1650,8.30
1665,0.120
1680,26.9
1695,0.160
1710,0.120
1725,0.220
1740,0.0600
1755,1.10
1770,0.820
1785,0.480
1800,0.800
1815,0.140
1830,0.180
1845,0.400
1860,0.120
1875,0.0600
