"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2026-04-14 20:49:00,30.5 GiB,9.33 GiB,13.0 GiB,8.17 GiB,8 KiB
2026-04-14 20:49:15,30.5 GiB,9.33 GiB,13.0 GiB,8.17 GiB,8 KiB
2026-04-14 20:49:30,30.5 GiB,9.41 GiB,13.0 GiB,8.09 GiB,8 KiB
2026-04-14 20:49:45,30.5 GiB,9.55 GiB,13.0 GiB,7.91 GiB,8 KiB
2026-04-14 20:50:00,30.5 GiB,10.4 GiB,13.0 GiB,7.05 GiB,8 KiB
2026-04-14 20:50:15,30.5 GiB,10.5 GiB,13.0 GiB,6.97 GiB,8 KiB
2026-04-14 20:50:30,30.5 GiB,10.5 GiB,13.1 GiB,6.95 GiB,8 KiB
2026-04-14 20:50:45,30.5 GiB,10.5 GiB,13.1 GiB,6.93 GiB,8 KiB
2026-04-14 20:51:00,30.5 GiB,10.5 GiB,13.1 GiB,6.89 GiB,8 KiB
2026-04-14 20:51:15,30.5 GiB,10.8 GiB,13.1 GiB,6.63 GiB,8 KiB
2026-04-14 20:51:30,30.5 GiB,10.7 GiB,13.1 GiB,6.61 GiB,8 KiB
2026-04-14 20:51:45,30.5 GiB,10.7 GiB,13.2 GiB,6.57 GiB,8 KiB
2026-04-14 20:52:00,30.5 GiB,10.8 GiB,13.2 GiB,6.51 GiB,8 KiB
2026-04-14 20:52:15,30.5 GiB,10.8 GiB,13.3 GiB,6.43 GiB,8 KiB
2026-04-14 20:52:30,30.5 GiB,10.8 GiB,13.4 GiB,6.25 GiB,8 KiB
2026-04-14 20:52:45,30.5 GiB,10.9 GiB,13.5 GiB,6.00 GiB,8 KiB
2026-04-14 20:53:00,30.5 GiB,11.0 GiB,13.6 GiB,5.91 GiB,8 KiB
2026-04-14 20:53:15,30.5 GiB,11.0 GiB,13.7 GiB,5.78 GiB,8 KiB
2026-04-14 20:53:30,30.5 GiB,11.0 GiB,13.7 GiB,5.82 GiB,8 KiB
2026-04-14 20:53:45,30.5 GiB,12.9 GiB,13.7 GiB,3.87 GiB,8 KiB
2026-04-14 20:54:00,30.5 GiB,14.4 GiB,13.8 GiB,2.26 GiB,8 KiB
2026-04-14 20:54:15,30.5 GiB,15.2 GiB,13.8 GiB,1.43 GiB,8 KiB
2026-04-14 20:54:30,30.5 GiB,16.3 GiB,13.9 GiB,305 MiB,8 KiB
2026-04-14 20:54:45,30.5 GiB,15.7 GiB,13.1 GiB,1.65 GiB,8 KiB
2026-04-14 20:55:00,30.5 GiB,17.4 GiB,12.6 GiB,485 MiB,8 KiB
2026-04-14 20:55:15,30.5 GiB,15.8 GiB,12.0 GiB,2.69 GiB,8 KiB
2026-04-14 20:55:30,30.5 GiB,9.35 GiB,11.4 GiB,9.72 GiB,8 KiB
2026-04-14 20:55:45,30.5 GiB,9.55 GiB,11.4 GiB,9.52 GiB,8 KiB
2026-04-14 20:56:00,30.5 GiB,10.1 GiB,11.4 GiB,8.94 GiB,8 KiB
2026-04-14 20:56:15,30.5 GiB,10.7 GiB,11.4 GiB,8.40 GiB,8 KiB
2026-04-14 20:56:30,30.5 GiB,10.6 GiB,11.4 GiB,8.42 GiB,8 KiB
2026-04-14 20:56:45,30.5 GiB,10.6 GiB,11.5 GiB,8.39 GiB,8 KiB
