Time,RAM Total,RAM Used,RAM Cache + Buffer,RAM Free,SWAP Used
0,30.5 GiB,9.55 GiB,13.0 GiB,7.91 GiB,8 KiB
15,30.5 GiB,10.4 GiB,13.0 GiB,7.05 GiB,8 KiB
30,30.5 GiB,10.5 GiB,13.0 GiB,6.97 GiB,8 KiB
45,30.5 GiB,10.5 GiB,13.1 GiB,6.95 GiB,8 KiB
60,30.5 GiB,10.5 GiB,13.1 GiB,6.93 GiB,8 KiB
75,30.5 GiB,10.5 GiB,13.1 GiB,6.89 GiB,8 KiB
90,30.5 GiB,10.8 GiB,13.1 GiB,6.63 GiB,8 KiB
105,30.5 GiB,10.7 GiB,13.1 GiB,6.61 GiB,8 KiB
120,30.5 GiB,10.7 GiB,13.2 GiB,6.57 GiB,8 KiB
135,30.5 GiB,10.8 GiB,13.2 GiB,6.51 GiB,8 KiB
150,30.5 GiB,10.8 GiB,13.3 GiB,6.43 GiB,8 KiB
165,30.5 GiB,10.8 GiB,13.4 GiB,6.25 GiB,8 KiB
180,30.5 GiB,10.9 GiB,13.5 GiB,6.00 GiB,8 KiB
195,30.5 GiB,11.0 GiB,13.6 GiB,5.91 GiB,8 KiB
210,30.5 GiB,11.0 GiB,13.7 GiB,5.78 GiB,8 KiB
225,30.5 GiB,11.0 GiB,13.7 GiB,5.82 GiB,8 KiB
240,30.5 GiB,12.9 GiB,13.7 GiB,3.87 GiB,8 KiB
255,30.5 GiB,14.4 GiB,13.8 GiB,2.26 GiB,8 KiB
270,30.5 GiB,15.2 GiB,13.8 GiB,1.43 GiB,8 KiB
285,30.5 GiB,16.3 GiB,13.9 GiB,305 MiB,8 KiB
300,30.5 GiB,15.7 GiB,13.1 GiB,1.65 GiB,8 KiB
315,30.5 GiB,17.4 GiB,12.6 GiB,485 MiB,8 KiB
330,30.5 GiB,15.8 GiB,12.0 GiB,2.69 GiB,8 KiB
345,30.5 GiB,9.35 GiB,11.4 GiB,9.72 GiB,8 KiB
