Time,eth0 - Receive,lo - Receive,eth0 - Transmit,lo - Transmit
0,2.16 kb/s,0 b/s,26.0 kb/s,0 b/s
15,1.45 kb/s,0 b/s,25.8 kb/s,0 b/s
30,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
45,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
60,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
75,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
90,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
105,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
120,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
135,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
150,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
165,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
180,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
195,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
210,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
225,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
240,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
255,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
270,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
285,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
300,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
315,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
330,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
345,1.32 kb/s,0 b/s,25.8 kb/s,0 b/s
360,2.79 kb/s,0 b/s,26.1 kb/s,0 b/s
375,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
390,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
405,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
420,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
435,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
450,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
465,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
480,1.34 kb/s,0 b/s,25.8 kb/s,0 b/s
495,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
510,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
525,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
540,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
555,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
570,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
585,1.23 kb/s,0 b/s,25.8 kb/s,0 b/s
600,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
615,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
630,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
645,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
660,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
675,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
690,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
705,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
720,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
735,1.72 kb/s,0 b/s,25.9 kb/s,0 b/s
750,3.17 kb/s,0 b/s,26.1 kb/s,0 b/s
765,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
780,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
795,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
810,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
825,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
840,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
855,1.23 kb/s,0 b/s,25.8 kb/s,0 b/s
870,1.56 kb/s,0 b/s,26.1 kb/s,0 b/s
885,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
900,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
915,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
930,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
945,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
960,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
975,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
990,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
1005,1.34 kb/s,0 b/s,26.0 kb/s,0 b/s
1020,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
1035,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1050,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1065,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1080,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1095,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1110,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1125,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
1140,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1155,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
1170,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1185,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
1200,1.11 kb/s,0 b/s,26.2 kb/s,0 b/s
1215,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1230,13.2 kb/s,0 b/s,26.1 kb/s,0 b/s
1245,2.37 kb/s,0 b/s,25.9 kb/s,0 b/s
1260,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
1275,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1290,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
1305,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1320,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1335,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
1350,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1365,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1380,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1395,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1410,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1425,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1440,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
1455,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
1470,1.45 kb/s,0 b/s,26.1 kb/s,0 b/s
1485,1.18 kb/s,0 b/s,25.9 kb/s,0 b/s
1500,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
1515,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1530,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1545,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1560,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1575,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1590,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1605,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1620,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1635,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1650,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
1665,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1680,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
1695,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
1710,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1725,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
1740,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1755,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1770,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
1785,1.11 kb/s,0 b/s,26.2 kb/s,0 b/s
1800,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1815,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
1830,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
1845,1.18 kb/s,0 b/s,26.2 kb/s,0 b/s
1860,1.56 kb/s,0 b/s,26.1 kb/s,0 b/s
1875,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
