"Time","recv eth0","recv lo","trans eth0 ","trans lo "
2026-04-14 20:49:00,1.11 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:49:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:49:30,1.11 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:49:45,2.16 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:50:00,1.45 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:50:15,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 20:50:30,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:50:45,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:51:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:51:15,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:51:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:51:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:52:00,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:52:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:52:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:52:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:53:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:53:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:53:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:53:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:54:00,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:54:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:54:30,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:54:45,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:55:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:55:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:55:30,1.32 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:55:45,2.79 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:56:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:56:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:56:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:56:45,1.23 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 20:57:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:57:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:57:30,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:57:45,1.34 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:58:00,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:58:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:58:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:58:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 20:59:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 20:59:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 20:59:30,1.23 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 20:59:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:00:00,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:00:15,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:00:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:00:45,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:01:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:01:15,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:01:30,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:01:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:02:00,1.72 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:02:15,3.17 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:02:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:02:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:03:00,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:03:15,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:03:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:03:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:04:00,1.23 kb/s,0 b/s,25.8 kb/s,0 b/s
2026-04-14 21:04:15,1.56 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:04:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:04:45,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:05:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:05:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:05:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:05:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:06:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:06:15,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:06:30,1.34 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:06:45,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:07:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:07:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:07:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:07:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:08:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:08:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:08:30,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:08:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:09:00,1.11 kb/s,0 b/s,26.0 kb/s,0 b/s
2026-04-14 21:09:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:09:30,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:09:45,1.11 kb/s,0 b/s,26.2 kb/s,0 b/s
2026-04-14 21:10:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:10:15,13.2 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:10:30,2.37 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:10:45,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:11:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:11:15,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:11:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:11:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:12:00,1.23 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:12:15,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:12:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:12:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:13:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:13:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:13:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:13:45,1.23 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:14:00,1.34 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:14:15,1.45 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:14:30,1.18 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:14:45,1.34 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:15:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:15:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:15:30,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:15:45,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
2026-04-14 21:16:00,1.11 kb/s,0 b/s,25.9 kb/s,0 b/s
2026-04-14 21:16:15,1.11 kb/s,0 b/s,26.1 kb/s,0 b/s
