nodes,phase,start_time
2,Fixed-Rate-Writes-50,2026-04-20 08:04:58
2,Fixed-Rate-Writes-250,2026-04-20 08:05:41
2,Fixed-Rate-Writes-500,2026-04-20 08:06:28
2,Capacity-Discovery-Writes,2026-04-20 08:07:11
2,Stress-Test-Backlog,2026-04-20 08:12:30
2,Query-Performance,2026-04-20 08:12:57
4,Fixed-Rate-Writes-50,2026-04-20 08:19:32
4,Fixed-Rate-Writes-250,2026-04-20 08:20:30
4,Fixed-Rate-Writes-500,2026-04-20 08:21:25
4,Capacity-Discovery-Writes,2026-04-20 08:22:32
4,Stress-Test-Backlog,2026-04-20 08:28:01
4,Query-Performance,2026-04-20 08:28:31
8,Fixed-Rate-Writes-50,2026-04-20 08:35:33
8,Fixed-Rate-Writes-250,2026-04-20 08:36:43
8,Fixed-Rate-Writes-500,2026-04-20 08:38:12
8,Capacity-Discovery-Writes,2026-04-20 08:39:25
8,Stress-Test-Backlog,2026-04-20 08:45:11
8,Query-Performance,2026-04-20 08:46:11
16,Fixed-Rate-Writes-50,2026-04-20 08:52:58
16,Fixed-Rate-Writes-250,2026-04-20 08:55:27
16,Fixed-Rate-Writes-500,2026-04-20 08:57:28
16,Capacity-Discovery-Writes,2026-04-20 08:59:39
16,Stress-Test-Backlog,2026-04-20 09:05:49
16,Query-Performance,2026-04-20 09:07:24
