"Time","Total Transactions (Received)","Successful Transactions"
2026-04-14 20:49:45,7,7
2026-04-14 20:50:00,88,88
2026-04-14 20:50:15,826,826
2026-04-14 20:50:30,1499,1499
2026-04-14 20:50:45,1511,1511
2026-04-14 20:51:00,2767,2767
2026-04-14 20:51:15,4510,4510
2026-04-14 20:51:30,6538,6538
2026-04-14 20:51:45,8990,8987
2026-04-14 20:52:00,12087,12087
2026-04-14 20:52:15,16278,16278
2026-04-14 20:52:30,22793,22792
2026-04-14 20:52:45,37179,37174
2026-04-14 20:53:00,40815,40815
2026-04-14 20:53:15,49911,49906
2026-04-14 20:53:30,50815,50815
2026-04-14 20:53:45,53315,50815
2026-04-14 20:54:00,53315,50815
2026-04-14 20:54:15,55815,50815
2026-04-14 20:54:30,55815,50815
2026-04-14 20:54:45,57238,50815
2026-04-14 20:55:00,57238,50815
2026-04-14 20:55:15,57238,50815
2026-04-14 20:55:45,5,5
2026-04-14 20:56:00,13,13
2026-04-14 20:56:15,395,395
2026-04-14 20:56:30,1145,1145
2026-04-14 20:56:45,1517,1517
2026-04-14 20:57:00,1672,1671
2026-04-14 20:57:15,3013,3013
2026-04-14 20:57:30,4798,4798
2026-04-14 20:57:45,6892,6891
2026-04-14 20:58:00,9432,9432
2026-04-14 20:58:15,12655,12654
2026-04-14 20:58:30,17080,17080
2026-04-14 20:58:45,24559,24557
2026-04-14 20:59:00,36289,36286
2026-04-14 20:59:15,38431,38431
2026-04-14 20:59:30,39553,39553
2026-04-14 20:59:45,48431,48431
2026-04-14 21:00:00,48431,48431
2026-04-14 21:00:15,50931,48431
2026-04-14 21:00:30,50931,48431
2026-04-14 21:00:45,53431,48431
2026-04-14 21:01:00,53431,48431
2026-04-14 21:01:15,55685,48431
2026-04-14 21:01:30,55685,48431
2026-04-14 21:01:45,9,9
2026-04-14 21:02:15,17,17
2026-04-14 21:02:30,25,25
2026-04-14 21:02:45,25,25
2026-04-14 21:03:00,137,137
2026-04-14 21:03:15,664,664
2026-04-14 21:03:30,1302,1302
2026-04-14 21:03:45,1529,1529
2026-04-14 21:04:00,1529,1529
2026-04-14 21:04:15,1529,1529
2026-04-14 21:04:30,1769,1769
2026-04-14 21:04:45,3129,3129
2026-04-14 21:05:00,4925,4925
2026-04-14 21:05:15,7048,7048
2026-04-14 21:05:30,9627,9627
2026-04-14 21:05:45,12913,12913
2026-04-14 21:06:00,17427,17427
2026-04-14 21:06:15,24674,24674
2026-04-14 21:06:30,33911,33911
2026-04-14 21:06:45,35831,35831
2026-04-14 21:07:00,35831,35831
2026-04-14 21:07:15,39881,39880
2026-04-14 21:07:30,45831,45831
2026-04-14 21:07:45,45831,45831
2026-04-14 21:08:00,46905,45831
2026-04-14 21:08:15,48331,45831
2026-04-14 21:08:30,49405,45831
2026-04-14 21:08:45,50831,45831
2026-04-14 21:09:00,51904,45831
2026-04-14 21:09:15,53331,45831
2026-04-14 21:09:30,53331,45831
2026-04-14 21:09:45,53331,45831
2026-04-14 21:10:15,16,16
2026-04-14 21:10:30,49,49
2026-04-14 21:10:45,49,49
2026-04-14 21:11:00,49,49
2026-04-14 21:11:15,49,49
2026-04-14 21:11:30,76,76
2026-04-14 21:11:45,263,263
2026-04-14 21:12:00,589,589
2026-04-14 21:12:15,1065,1065
2026-04-14 21:12:30,1465,1465
2026-04-14 21:12:45,1553,1553
2026-04-14 21:13:00,1553,1553
2026-04-14 21:13:15,1553,1553
2026-04-14 21:13:30,1553,1553
2026-04-14 21:13:45,1553,1553
2026-04-14 21:14:00,1891,1891
2026-04-14 21:14:15,3374,3374
2026-04-14 21:14:30,5211,5211
2026-04-14 21:14:45,7377,7376
2026-04-14 21:15:00,10013,10013
2026-04-14 21:15:15,13381,13381
2026-04-14 21:15:30,17936,17935
2026-04-14 21:15:45,24612,24552
2026-04-14 21:16:00,30900,30898
2026-04-14 21:16:15,31856,31856
2026-04-14 21:16:30,31856,31856
2026-04-14 21:16:45,31856,31856
2026-04-14 21:17:00,33406,33406
2026-04-14 21:17:15,36856,36856
2026-04-14 21:17:30,36858,36858
2026-04-14 21:17:45,41856,41856
2026-04-14 21:18:00,41856,41856
2026-04-14 21:18:15,41856,41856
2026-04-14 21:18:30,41856,41856
2026-04-14 21:18:45,41856,41856
2026-04-14 21:19:00,44356,41856
2026-04-14 21:19:15,44356,41856
2026-04-14 21:19:30,46856,41856
2026-04-14 21:19:45,46856,41856
2026-04-14 21:20:00,49356,41856
2026-04-14 21:20:15,49356,41856
2026-04-14 21:20:30,49356,41856
2026-04-14 21:20:45,49356,41856
