Time,Total Transactions (Received),Successful Transactions
0,9,9
30,17,17
45,25,25
60,25,25
75,137,137
90,664,664
105,1302,1302
120,1529,1529
135,1529,1529
150,1529,1529
165,1769,1769
180,3129,3129
195,4925,4925
210,7048,7048
225,9627,9627
240,12913,12913
255,17427,17427
270,24674,24674
285,33911,33911
300,35831,35831
315,35831,35831
330,39881,39880
345,45831,45831
360,45831,45831
375,46905,45831
390,48331,45831
405,49405,45831
420,50831,45831
435,51904,45831
450,53331,45831
465,53331,45831
480,53331,45831
